A ^at++++=A
theoretical ^jj+atrb+++=theoretical
systematization ^nn+nom+++=systematization
of ^in++++=of
the ^ati++++=the
cultural ^jj++++=cultural-historical
- ^zz++++=EXTRAWORD
historical ^jj++++=EXTRAWORD
approach ^vb++++=approach
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
possible ^jj++++=possible
to ^to+jcmp+++=to
gather ^vbi+vprv+++=gather
the ^ati++++=the
main ^jjb+atrb+++=main
Russian ^jj+atrb+++=Russian
authors ^nns++++=authors
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
worked ^vprf+++xvbnx+=worked
on ^in++++=on
assessment ^nn+nom+++=assessment
from ^in++++=from
an ^at++++=an
integral ^jj+atrb+++=integral
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
a ^at++++=a
result ^nn++++=result
the ^ati++++=the
research ^nn++++=research
selected ^vwbn+++xvbn+=selected
Luria ^np++++=Luria's
's ^$++++=EXTRAWORD
proposal ^nn+nom+++=proposal
due ^jj++++=due
to ^to+jcmp+++=to
four ^cd++++=four
reasons ^nns++++=reasons.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
Luria ^np+++??+=Luria
put ^vbd+++xvbn+=put
into ^in++++=into
practice ^nn++++=practice
the ^ati++++=the
three ^cd++++=three
principles ^nns++++=principles
of ^in++++=of
the ^ati++++=the
approach ^nn++++=approach:
: ^zz++++=EXTRAWORD
