Outside ^in+cmpx+++=Outside
of ^in"++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
of ^in++++=of
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Mexico ^np++++=Mexico,
, ^zz++++=EXTRAWORD
Puerto ^np+++??+=Puerto
Rico ^np+++??+=Rico
and ^cc++++=and
Chile ^np+++??+=Chile,
, ^zz++++=EXTRAWORD
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
5.4 ^cd++++=5.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
are ^vb+ber+vrb++=are
in ^in++++=in
English ^nn++++=English.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Portuguese ^nn+nom+++=Portuguese
as ^ql++++=as
a ^at++++=a
language ^nn+nom+++=language
of ^in++++=of
publication ^nn+nom+++=publication
outside ^in+cmpx+++=outside
of ^in"++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
of ^in++++=of
Brazil ^np++++=Brazil
journals ^nns+nom+++=journals
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
low ^jj++++=low,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
5.4 ^cd++++=5.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
in ^in++++=in
the ^ati++++=the
journals ^nns+nom+++=journals
of ^in++++=of
Costa ^np++++=Costa
Rica ^np+++??+=Rica,
, ^zz++++=EXTRAWORD
3.8 ^cd++++=3.8%
% ^zz++++=EXTRAWORD
in ^in++++=in
journals ^nns+nom+++=journals
edited ^vbd+++xvbn+=edited
in ^in++++=in
Uruguay ^np+++??+=Uruguay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2.5 ^cd++++=2.5%
% ^zz++++=EXTRAWORD
in ^in++++=in
Ecuador ^np+++??+=Ecuador.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Spanish ^jj++++=Spanish-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
area ^nn++++=area,
, ^zz++++=EXTRAWORD
Spanish ^jj++++=Spanish
is ^vbz+bez+vrb++=is
by ^in++++=by
far ^rb+pl+++=far
the ^ati++++=the
predominant ^jj+atrb+++=predominant
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
In ^in++++=In
journal ^nn++++=journal
articles ^nns++++=articles
from ^in++++=from
Bolivia ^np+++??+=Bolivia,
, ^zz++++=EXTRAWORD
Cuba ^np++++=Cuba,
, ^zz++++=EXTRAWORD
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
Dominican ^np+nom++??+=Dominican
Republic ^nn++++=Republic,
, ^zz++++=EXTRAWORD
Uruguay ^np+++??+=Uruguay
and ^cc++++=and
venezuela ^np++++=Venezuela,
, ^zz++++=EXTRAWORD
spanish ^jj+atrb+++=Spanish
accounts ^nns++++=accounts
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
90 ^cd++++=90%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
