Environmental ^jj+atrb+++=Environmental
conditions ^nns+nom+++=conditions
were ^vbd+bed+aux++=were
described ^vpsv++agls+xvbnx+=described
according ^in++++=according
to ^in++++=to
ecosystem ^jj+atrb++??+=ecosystem
type ^nn++++=type
( ^zz++++=(rivers,
rivers ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lagoons ^nns+++??+=lagoons
and ^cc++++=and
lakes ^nns++++=lakes),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
trophic ^jj+atrb+++=trophic
state ^nn++++=state
index ^nn++++=index
( ^zz++++=(TSI),
tsi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ph ^nn++++=pH
( ^zz++++=(method
method ^nn++++=EXTRAWORD
specifications ^nns+nom+++=specifications
in ^in++++=in
Zorzal ^np+++??+=Zorzal-Almeida
- ^zz++++=EXTRAWORD
almeida ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
classified ^xvbn+++xvbn+=classified
as ^ql++++=as
acid ^nn++++=acid
( ^zz++++=(<
< ^zz++++=EXTRAWORD
6.5 ^cd++++=6.5),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
alkaline ^jj++++=alkaline
( ^zz++++=(>
> ^zz++++=EXTRAWORD
7.5 ^cd++++=7.5)
) ^zz++++=EXTRAWORD
and ^cc++++=and
circumneutral ^jj++++=circumneutral
( ^zz++++=(6.5-7.5)
6.5 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
7.5 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(
astn ^nn+++??+=astn
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Occurrence ^nn+nom+++=Occurrence
frequency ^nn++++=frequency
of ^in++++=of
each ^dt++++=each
taxon ^nn+++??+=taxon
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
according ^in+cmpx+++=according
to ^in++++=to
Zorzal ^np+++??+=Zorzal-Almeida
- ^zz++++=EXTRAWORD
almeida ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021).
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
highlight ^nn++++=highlight
the ^ati++++=the
first ^od++++=first
citations ^nns+nom+++=citations
for ^in++++=for
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo
State ^nn++++=State,
, ^zz++++=EXTRAWORD
taxa ^nn+++??+=taxa
are ^vb+ber+aux++=are
marked ^vpsv++agls+xvbnx+=marked
with ^in++++=with
[ ^zz++++=[*]
* ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
first ^od++++=first
citations ^nns+nom+++=citations
for ^in++++=for
Brazil ^np++++=Brazil
with ^in++++=with
[ ^zz++++=[**].
** ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
studied ^vbd+++xvbn+=studied
during ^in++++=during
the ^ati++++=the
present ^jj+atrb+++=present
inventory ^nn++++=inventory
are ^vb+ber+aux++=are
deposited ^vwbn+++xvbn+=deposited
at ^rb++++=at
the ^ati++++=the
herbarium ^np++++=Herbarium
vies ^np++++=VIES/UFES.
