Cell ^nn++++=Cell
c ^zz++++=c.
. ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
times ^nns++++=times
longer ^rbr++++=longer
than ^in++++=than
broad ^jj+atrb+++=broad,
, ^zz++++=EXTRAWORD
median ^jjb+atrb+++=median
constriction ^nn+nom+++=constriction
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
sinus ^nns+++??+=sinus
linear ^jj++++=linear;
; ^zz++++=EXTRAWORD
semicells ^nns+++??+=semicells
semicircular ^nn+++??+=semicircular,
, ^zz++++=EXTRAWORD
margins ^nns++++=margins
undulate ^nn+nom+++=undulate,
, ^zz++++=EXTRAWORD
6 ^zz++++=6-7
- ^zz++++=EXTRAWORD
7 ^zz++++=EXTRAWORD
undulations ^nns+nom+++=undulations
per ^nnu++++=per
semicell ^nn+++??+=semicell,
, ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
angles ^nns++++=angles
rounded ^vbd+++xvbn+=rounded;
; ^zz++++=EXTRAWORD
cell ^nn++++=cell
wall ^nn++++=wall
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
chloroplast ^nn+++??+=chloroplast
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
pyrenoid ^nn+++??+=pyrenoid
1 ^zz++++=1
per ^nnu++++=per
semicell ^nn+++??+=semicell.
. ^zz++++=EXTRAWORD
L ^zz++++=L:
: ^zz++++=EXTRAWORD
c ^zz++++=c.
. ^zz++++=EXTRAWORD
17 ^cd++++=17
m ^zz++++=m;
; ^zz++++=EXTRAWORD
W ^zz++++=W:
: ^zz++++=EXTRAWORD
c ^zz++++=c.
. ^zz++++=EXTRAWORD
11.4 ^cd++++=11.4
m ^zz++++=m;
; ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=I:
: ^zz++++=EXTRAWORD
c ^zz++++=c.
. ^zz++++=EXTRAWORD
3.2 ^cd++++=3.2
m ^zz++++=m.
. ^zz++++=EXTRAWORD
