Note ^nn++++=Note:
: ^zz++++=EXTRAWORD
Present ^vb++++=Present
variety ^nn++++=variety
differs ^nns+nom+++=differs
from ^in++++=from
the ^ati++++=the
typical ^nn++++=typical
by ^in++++=by
being ^xvbg+++xvbg+=being
longer ^rbr++++=longer
than ^in++++=than
broad ^jj++++=broad
not ^xnot++not++=not
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
broad ^jj++++=broad.
. ^zz++++=EXTRAWORD
Specimens ^nns++++=Specimens
studied ^vbd+++xvbn+=studied
were ^vbd+bed+vrb++=were
smaller ^jjr+pred+++=smaller
than ^in++++=than
the ^ati++++=the
one ^cd1++++=one
described ^vbd+++xvbn+=described
in ^in++++=in
West ^np+pl+++=West
& ^zz++++=&
West ^nr+pl+++=West
( ^zz++++=(1895)
1895 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(L:
l ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
c ^zz++++=c.
. ^zz++++=EXTRAWORD
81 ^cd++++=81
m ^zz++++=m;
; ^zz++++=EXTRAWORD
W ^zz++++=W:
: ^zz++++=EXTRAWORD
c ^zz++++=c.
. ^zz++++=EXTRAWORD
70 ^cd++++=70
m ^zz++++=m;
; ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=I:
: ^zz++++=EXTRAWORD
33 ^cd++++=33
m ^zz++++=m).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
