Present ^vb++++=Present
material ^nn++++=material
was ^vbd+bedz+aux++=was
gathered ^vpsv++agls+xvbnx+=gathered
from ^in++++=from
both ^abx++++=both
lotic ^nn++++=lotic
and ^cc++++=and
lentic ^jj+atrb+++=lentic
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
always ^rb++++=always
under ^in++++=under
oligotrophic ^nn++++=oligotrophic,
, ^zz++++=EXTRAWORD
mesotrophic ^jj+atrb+++=mesotrophic
and ^cc+phrs+++=and
alkaline ^jj+atrb+++=alkaline
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
