When ^wrb+who+++=When
analyzing ^nvbg+++xvbg+=analyzing
the ^ati++++=the
comparison ^nn++++=comparison
of ^in++++=of
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
anxiolytic ^jj+atrb+++=anxiolytic
drugs ^nns++++=drugs
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
university ^nn+nom+++=university
and ^cc++++=and
sex ^nn++++=sex
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
higher ^jjr+atrb+++=higher
frequency ^nn++++=frequency
of ^in++++=of
anxiolytic ^jj+atrb+++=anxiolytic
drug ^nn++++=drug
use ^nn++++=use
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
among ^in++++=among
female ^jj+atrb+++=female
students ^nns++++=students
( ^zz++++=(42.3%)
42.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
those ^dt+dem+++=those
attending ^jj+atrb++xvbg+=attending
public ^jj+atrb+++=public
universities ^nns+nom+++=universities
( ^zz++++=(55.3%).
55.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
association ^nn+nom+++=association
between ^in++++=between
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
university ^nn+nom+++=university
and ^cc++++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
anxiolytic ^jj+atrb+++=anxiolytic
drugs ^nns++++=drugs
( ^zz++++=(p=0.042),
p=0.042 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
between ^in++++=between
sex ^nn++++=sex
and ^cc++++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
anxiolytics ^nns++++=anxiolytics.
. ^zz++++=EXTRAWORD
