For ^in++++=For
Biagini ^np+++??+=Biagini
and ^cc++++=and
Gon ^np+++??+=Gon
alves ^nns+++??+=alves
( ^zz++++=(2017,
2017 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
8 ^zz++++=8),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
some ^dti++++=some
important ^jj+atrb+++=important
aspects ^nns++++=aspects
to ^to++++=to
be ^vbi+vbi+aux++=be
considered ^vpsv++agls+xvbnx+=considered
are ^vb+ber+vrb++=are
cooperation ^nn+nom+++=cooperation,
, ^zz++++=EXTRAWORD
solidarity ^nn+nom+++=solidarity
and ^cc++++=and
respect ^nn++++=respect
for ^in++++=for
differences ^nns+nom+++=differences
between ^in++++=between
students ^nns++++=students,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
achieved ^vpsv++agls+xvbnx+=achieved
through ^in++++=through
group ^nn++++=group
activities ^nns+nom+++=activities.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
research ^nn++++=research,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
suggested ^vbd+vpub++xvbn+=suggested
a ^at++++=a
reading ^jj+atrb++xvbg+=reading
activity ^nn+nom+++=activity
in ^in++++=in
groups ^nns++++=groups
of ^in++++=of
four ^cd++++=four,
, ^zz++++=EXTRAWORD
assigning ^vbg+++xvbg+=assigning
each ^dt++++=each
student ^nn++++=student
a ^at++++=a
role ^nn++++=role
( ^zz++++=(reader,
reader ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
writer ^nn++++=writer,
, ^zz++++=EXTRAWORD
communicator ^nn++++=communicator
and ^cc++++=and
coordinator ^nn++++=coordinator).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
activity ^nn+nom+++=activity
was ^vbd+bedz+aux++=was
organized ^vpsv++agls+xvbnx+=organized
in ^in++++=in
three ^cd++++=three
moments ^nns+nom+++=moments:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
individual ^jj+atrb+++=individual
answers ^nns+nom+++=answers
to ^in++++=to
the ^ati++++=the
teachers ^nns+nom+++=teachers
questions ^nns+nom+++=questions
and ^cc++++=and
discussions ^nns++++=discussions
in ^in++++=in
the ^ati++++=the
groups ^nns++++=groups
to ^in++++=to
elaborate ^jj++++=elaborate
a ^at++++=a
collective ^jj+atrb+++=collective
answer ^nn++++=answer;
; ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
presentation ^nn+nom+++=presentation
of ^in++++=of
the ^ati++++=the
answers ^nns+nom+++=answers
to ^in++++=to
the ^ati++++=the
whole ^jj+atrb+++=whole
class ^nn++++=class
and ^cc++++=and
discussion ^nn++++=discussion
with ^in++++=with
new ^jj+atrb+++=new
answers ^nns+nom+++=answers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
communicate ^nn+nom+++=communicate
the ^ati++++=the
conclusions ^nns++++=conclusions
and ^cc++++=and
results ^nns++++=results
of ^in++++=of
each ^dt++++=each
group ^nn++++=group
to ^in++++=to
the ^ati++++=the
whole ^jj+atrb+++=whole
class ^nn++++=class.
. ^zz++++=EXTRAWORD
The ^ati++++=The
researchers ^nns+nom+++=researchers
chose ^vbd+++xvbn+=chose
a ^at++++=a
text ^nn++++=text
from ^in++++=from
the ^ati++++=the
Natural ^jj+atrb+++=Natural
Sciences ^nns+nom+++=Sciences
area ^nn++++=area
for ^in++++=for
the ^ati++++=the
discussion ^nn++++=discussion,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
adapt ^vbi++++=adapt
such ^abl++++=such
activity ^nn+nom+++=activity
for ^in++++=for
other ^ap++++=other
areas ^nns++++=areas
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
English ^jj+atrb+++=English
language ^nn+nom+++=language
field ^nn++++=field.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
Biagini ^np+++??+=Biagini
and ^cc++++=and
Gon ^np+++??+=Gon
alves ^nns+++??+=alves
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
an ^at++++=an
experiment ^nn+nom+++=experiment
about ^in++++=about
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
water ^nn++++=water
for ^in++++=for
vegetables ^nns++++=vegetables,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
potability ^nn+nom+++=potability
and ^cc++++=and
water ^nn++++=water
treatment ^nn+nom+++=treatment.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
experiment ^nn+nom+++=experiment,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
identified ^vbd+++xvbnx+=identified
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
multisensory ^nn++++=multisensory
resources ^nns++++=resources
( ^zz++++=(tactile,
tactile ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
olfactory ^nn++++=olfactory,
, ^zz++++=EXTRAWORD
auditory ^jj+atrb+++=auditory
observations ^nns+nom+++=observations),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
help ^vb++++=help
the ^ati++++=the
blind ^jj+atrb+++=blind
students ^nns++++=students
to ^in++++=to
comprehend ^nn++++=comprehend
the ^ati++++=the
explanations ^nns+nom+++=explanations.
. ^zz++++=EXTRAWORD
