While ^cs+sub+++=While
Uliana ^np+++??+=Uliana
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
s ^zz++++=s
work ^nn++++=work
focuses ^vbz++++=focuses
on ^in++++=on
tactile ^jj+atrb+++=tactile
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
and ^cc++++=and
Reily ^np+++??+=Reily
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
explore ^vb++++=explore
audible ^jj+atrb+++=audible
materials ^nns+nom+++=materials
through ^in++++=through
the ^ati++++=the
teaching ^jj+++xvbg+=teaching
of ^in++++=of
music ^nn++++=music
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
Pring ^np+++??+=Pring
and ^cc++++=and
Ockelford ^np+++??+=Ockelford
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
and ^cc++++=and
Reily ^np+++??+=Reily
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
explain ^vb+vpub+++=explain
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
strong ^jj+atrb+++=strong
relationship ^nn+nom+++=relationship
between ^in++++=between
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
cognitive ^jj++++=cognitive
and ^cc++++=and
motor ^nn++++=motor
skills ^nns++++=skills
of ^in++++=of
the ^ati++++=the
individual ^nn+nom+++=individual
in ^in++++=in
an ^at++++=an
environment ^nn+nom+++=environment
favorable ^&fw++++=favorable
to ^in++++=to
musical ^jj+atrb+++=musical
contact ^nn++++=contact
( ^zz++++=(OLIVEIRA;
oliveira ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Reily ^np+++??+=REILY,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
408 ^cd++++=408),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contribute ^vb++++=contribute
for ^in++++=for
the ^ati++++=the
education ^nn+nom+++=education
of ^in++++=of
both ^abx++++=both
sighted ^jj+++xvbn+=sighted
and ^cc++++=and
non ^&fw++++=non-sighted
- ^zz++++=EXTRAWORD
sighted ^vprf+++xvbn+=EXTRAWORD
students ^nns++++=students.
. ^zz++++=EXTRAWORD
As ^ql++++=As
ideas ^nns++++=ideas
for ^in++++=for
didactic ^jj+atrb+++=didactic
materials ^nns+nom+++=materials
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
mention ^nn+nom+++=mention
playful ^jj+atrb+++=playful
activities ^nns+nom+++=activities
that ^tht+rel+subj++=that
arise ^vb++++=arise
the ^ati++++=the
interest ^nn++++=interest
of ^in++++=of
such ^abl++++=such
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
contents ^nns++++=contents,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cs+sub+++=as
embossed ^jj+atrb++xvbn+=embossed
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
use ^nn++++=use
of ^in++++=of
Braille ^np+++??+=Braille,
, ^zz++++=EXTRAWORD
voice ^nn++++=voice
synthesizer ^jjr++++=synthesizer,
, ^zz++++=EXTRAWORD
screen ^nn++++=screen
reader ^nn++++=reader
and ^cc++++=and
other ^ap++++=other
technologies ^nns+++??+=technologies
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
this ^dt+dem+++=this
student ^nn++++=student
s ^zz++++=s
learning ^vwbg+vprv++xvbg+=learning.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
and ^cc++++=and
Reily ^np+++??+=Reily
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
highlight ^nn++++=highlight
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
the ^ati++++=the
incentive ^nn++++=incentive
coming ^vwbg+++xvbg+=coming
from ^in++++=from
the ^ati++++=the
students ^nns++++=students
family ^nn++++=family,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
and ^cc++++=and
community ^nn+nom+++=community
to ^to++++=to
stimulate ^nn+nom+++=stimulate
their ^pp$+pp3+++=their
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
