Such ^abl++++=Such
methodological ^jj+atrb+++=methodological
strategies ^nns+++??+=strategies
are ^vb+ber+vrb++=are
examples ^nns++++=examples
of ^in++++=of
how ^wrb+who+++=how
to ^in++++=to
address ^nns+nom+++=address
the ^ati++++=the
teaching ^jj+++xvbg+=teaching
of ^in++++=of
a ^at++++=a
blind ^jj+atrb+++=blind
student ^nn++++=student
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
contribute ^vb++++=contribute
to ^to++++=to
avoid ^vbi++++=avoid
future ^jjb+atrb+++=future
issues ^nns++++=issues
of ^in++++=of
non ^&fw++++=non-inclusion,
- ^zz++++=EXTRAWORD
inclusion ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lack ^nn++++=lack
of ^in++++=of
autonomy ^nn++++=autonomy
or ^cc++++=or
teacher ^nn++++=teacher
unpreparedness ^nns+nom+++=unpreparedness,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
obstacles ^nns++++=obstacles
already ^rb++++=already
mentioned ^vprf++tht0+xvbn+=mentioned
that ^tht+vcmp+++=that
prevent ^vb++++=prevent
this ^dt+dem+++=this
student ^nn++++=student
from ^in++++=from
fully ^rb+amp+++=fully
learning ^nvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
so ^ql++++=so,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
always ^rb++++=always
important ^jj+pred+++=important
to ^to+jcmp+++=to
communicate ^nn+nom+++=communicate
with ^in++++=with
the ^ati++++=the
student ^nn++++=student
to ^to++++=to
verify ^vbi+vpub+++=verify
which ^wdt+who+whcl++=which
learning ^nvbg+++xvbg+=learning
method ^nn++++=method
they ^pp3a+pp3+++=they
prefer ^vb+vprv+++=prefer
and ^cc++++=and
comprehend ^nn+++??+=comprehend
the ^ati++++=the
contents ^nns++++=contents
best ^jjt++++=best
( ^zz++++=(ULIANA,
uliana ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Ferreira ^np+++??+=FERREIRA;
; ^zz++++=EXTRAWORD
Dickman ^np+++??+=DICKMAN,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thereby ^rb+cnj+++=Thereby,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
for ^in++++=for
the ^ati++++=the
teacher ^nn++++=teacher
and ^cc++++=and
the ^ati++++=the
learner ^vb++++=learner
to ^to+vcmp+++=to
come ^vbi++++=come
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
good ^jj+atrb+++=good
method ^nn++++=method
that ^tht+rel+obj++=that
works ^nns++++=works
for ^in++++=for
both ^abx++++=both.
. ^zz++++=EXTRAWORD
