Just ^rb+emph+++=Just
like ^in++++=like
Pereira ^np+++??+=Pereira
et ^&fw++++=et.
. ^zz++++=EXTRAWORD
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019),
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
chose ^vbd+++xvbn+=chose
to ^to++++=to
perform ^vbi++++=perform
two ^cd++++=two
phases ^nns++++=phases
for ^in++++=for
the ^ati++++=the
inclusion ^nn++++=inclusion
or ^cc++++=or
exclusion ^nn++++=exclusion
of ^in++++=of
the ^ati++++=the
selected ^jj+atrb++xvbn+=selected
articles ^nns++++=articles
during ^in++++=during
the ^ati++++=the
literature ^nn++++=literature
review ^nn++++=review.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
phase ^nn++++=phase
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
reading ^xvbg+++xvbg+=reading
the ^ati++++=the
titles ^nns++++=titles,
, ^zz++++=EXTRAWORD
abstracts ^nns+++??+=abstracts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keywords ^vbz+++??+=keywords
contained ^vbd+++xvbn+=contained
in ^in++++=in
the ^ati++++=the
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
the ^ati++++=the
criteria ^nns++++=criteria
we ^pp1a+pp1+++=we
established ^vbd+vprv++xvbn+=established,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
head ^nn++++=head
to ^in++++=to
the ^ati++++=the
second ^od++++=second
phase ^nn++++=phase.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
phase ^nn++++=phase
started ^vwbn+++xvbn+=started
by ^in++++=by
reading ^xvbg+++xvbg+=reading
the ^ati++++=the
integral ^jj+atrb+++=integral
paper ^nn++++=paper
selected ^vwbn+++xvbn+=selected
in ^in++++=in
the ^ati++++=the
first ^od++++=first
phase ^nn++++=phase
and ^cc++++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
reading ^xvbg+++xvbg+=reading
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
classifying ^vbg+++xvbg+=classifying
them ^pp3o+pp3+++=them
according ^in++++=according
to ^to++++=to
their ^pp$+pp3+++=their
proximity ^nn+nom+++=proximity
and ^cc++++=and
similarities ^nns+nom+++=similarities.
. ^zz++++=EXTRAWORD
