z ^zz++++=z
al ^&fw++++=al
kan ^nn++++=kan,
, ^zz++++=EXTRAWORD
Adamson ^np+++??+=Adamson,
, ^zz++++=EXTRAWORD
Dimitrova ^np+++??+=Dimitrova,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Baumann ^np+++??+=Baumann
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
showed ^vbd+vprv++xvbn+=showed
in ^in++++=in
their ^pp$+pp3+++=their
research ^nn++++=research
that ^tht+rel+obj++=that
children ^nns++++=children
and ^cc++++=and
parents ^nns++++=parents
produce ^vb++++=produce
similar ^jj+atrb+++=similar
types ^nns++++=types
of ^in++++=of
gestures ^nns++++=gestures
and ^cc++++=and
gesture ^nn++++=gesture-speech
- ^zz++++=EXTRAWORD
speech ^nn++++=EXTRAWORD
combinations ^nns+nom+++=combinations.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
researching ^jj+atrb++xvbg+=researching
children ^nns++++=children
with ^in++++=with
autism ^nn++++=autism
spectrum ^nn+++??+=spectrum
disorder ^nn+nom+++=disorder
( ^zz++++=(ASD)
asd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
Down ^in++++=Down
syndrome ^nn++++=syndrome
( ^zz++++=(DS),
ds ^npt++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
observed ^vbd+vprv++xvbnx+=observed
the ^ati++++=the
specific ^jj+atrb+++=specific
differences ^nns+nom+++=differences
in ^in++++=in
diagnosis ^nn++++=diagnosis
concerning ^in++++=concerning
children ^nns++++=children
with ^in++++=with
typical ^jj+atrb+++=typical
development ^nn+nom+++=development
( ^zz++++=(TD)
td ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
production ^nn+nom+++=production
of ^in++++=of
gestures ^nns++++=gestures.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
children ^nns++++=children
but ^cc++++=but
not ^xnot++not++=not
the ^ati++++=the
parents ^nns++++=parents
showed ^vbd+vprv++xvbn+=showed
specific ^jj+atrb+++=specific
variability ^nn+nom+++=variability
of ^in++++=of
the ^ati++++=the
diagnosis ^nn++++=diagnosis
in ^in++++=in
the ^ati++++=the
frequency ^nn++++=frequency
with ^in++++=with
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
produced ^vbd+++xvbnx+=produced
each ^dt++++=each
type ^nn++++=type
of ^in++++=of
gesture ^nn++++=gesture
and ^cc++++=and
gesture ^nn++++=gesture-speech
- ^zz++++=EXTRAWORD
speech ^nn++++=EXTRAWORD
combination ^nn+nom+++=combination.
. ^zz++++=EXTRAWORD
