Eighty ^cd++++=Eighty-nine
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
students ^nns++++=students
from ^in++++=from
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
International ^jj+atrb+++=International
Studies ^nns++++=Studies
in ^in++++=in
Xi ^np+++??+=Xi'an,
'an, ^nn+++??+=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
participated ^j+++xvbn+=participated
in ^in++++=in
research ^nn++++=research
that ^tht+rel+subj++=that
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
whether ^cs+who+++=whether
tuning ^nvbg+++xvbg+=tuning
gestures ^nns++++=gestures
can ^md+pos+++=can
improve ^vb++++=improve
the ^ati++++=the
learning ^jj+++xvbg+=learning
of ^in++++=of
prosody ^nn++++=prosody
( ^zz++++=(part
part ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
traditional ^jj+atrb+++=traditional
grammar ^nn++++=grammar
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
dedicated ^vpsv++agls+xvbnx+=dedicated
to ^in++++=to
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
emission ^nn++++=emission
of ^in++++=of
the ^ati++++=the
speech ^nn++++=speech
sounds ^nns++++=sounds,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
accent ^nn++++=accent
and ^cc++++=and
intonation ^nn+nom+++=intonation).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
Yuan ^np+++??+=Yuan,
, ^zz++++=EXTRAWORD
Gonz ^np+++??+=Gonz
lez ^nn+++??+=lez-Fuente,
- ^zz++++=EXTRAWORD
fuente ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Baills ^np+++??+=Baills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Prieto ^np+++??+=Prieto
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
their ^pp$+pp3+++=their
research ^nn++++=research
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
divided ^vbd+++xvbnx+=divided
students ^nns++++=students
into ^in++++=into
two ^cd++++=two
identical ^jj+atrb+++=identical
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
group ^nn++++=group
( ^zz++++=(control
control ^nn++++=EXTRAWORD
group ^nn++++=group)
) ^zz++++=EXTRAWORD
received ^vbd+++xvbn+=received
intonation ^nn+nom+++=intonation
training ^nn++++=training
without ^in++++=without
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
tuning ^xvbg+++xvbg+=tuning
gestures ^nns++++=gestures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
group ^nn++++=group,
, ^zz++++=EXTRAWORD
experimental ^jj++++=experimental,
, ^zz++++=EXTRAWORD
received ^j+++xvbn+=received
the ^ati++++=the
same ^ap++++=same
training ^nn++++=training,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
more ^rbr++++=more
tuning ^nvbg+++xvbg+=tuning
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
contours ^nns++++=contours
of ^in++++=of
nuclear ^jj+atrb+++=nuclear
intonation ^nn+nom+++=intonation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
provide ^vb+vsua+++=provide
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group
has ^vbz+hvz+aux++=has
improved ^vprf+++xvbnx+=improved
significantly ^rb++++=significantly
and ^cc++++=and
that ^cs+sub+++=that
even ^cs+sub+++=even
though ^cs+sub+++=though
individuals ^nns+nom+++=individuals
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
stronger ^jjr+atrb+++=stronger
skills ^nns++++=skills
have ^vb+hv+aux++=have
obtained ^vprf+++xvbnx+=obtained
a ^at++++=a
better ^jjr+atrb+++=better
result ^nn++++=result,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
weaker ^jjr+atrb+++=weaker
musical ^jj+atrb+++=musical
skills ^nns++++=skills
have ^vb+hv+aux++=have
benefited ^vbd+++xvbn+=benefited
even ^rb++++=even
more ^rbr++++=more
by ^in++++=by
observing ^vbg+vprv++xvbg+=observing
the ^ati++++=the
gestures ^nns++++=gestures.
. ^zz++++=EXTRAWORD
