One ^pn++++=One
of ^in++++=of
the ^ati++++=the
difficulties ^nns++++=difficulties
of ^in++++=of
interviewing ^xvbg+++xvbg+=interviewing
method ^nn++++=method
is ^vbz+bez+aux++=is
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
the ^ati++++=the
construction ^nn+nom+++=construction
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
of ^in++++=of
interviewees ^nns+nom+++=interviewees
and ^cc++++=and
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
bias ^nn++++=bias
( ^zz++++=(Martin,
martin ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
this ^dt+dem+++=this
stage ^nn++++=stage
s ^zz++++=s
goal ^nn++++=goal
was ^vbd+bedz+aux++=was
to ^to++++=to
investigate ^nn+nom+++=investigate
the ^ati++++=the
dynamics ^nn++++=dynamics
of ^in++++=of
building ^xvbg+++xvbg+=building
and ^cc++++=and
maintaining ^xvbg+++xvbg+=maintaining
these ^dt+dem+++=these
alliances ^nns+nom+++=alliances,
, ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
sought ^vbd+++xvbn+=sought
state ^nn++++=state
legislators ^nns++++=legislators
whose ^whp+rel+obj++=whose
teams ^nns++++=teams
could ^md+pos+++=could
contribute ^vb++++=contribute
to ^to++++=to
find ^vbi+vprv+++=find
incidences ^nns+nom+++=incidences
of ^in++++=of
this ^dt+dem+++=this
phenomenon ^nn++++=phenomenon.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
chose ^vbd+++xvbn+=chose
representatives ^nns++++=representatives
( ^zz++++=(elected
elected ^jj+++xvbn+=EXTRAWORD
for ^in++++=for
the ^ati++++=the
2015 ^cd++++=2015-2018
- ^zz++++=EXTRAWORD
2018 ^cd++++=EXTRAWORD
legislature ^nn++++=legislature)
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
had ^vb+hv+vrb++=had
at ^rb++++=at
least ^rb"++++=least
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
of ^in++++=of
their ^pp$+pp3+++=their
votes ^nns++++=votes
concentrated ^vbd+++xvbn+=concentrated
in ^in++++=in
a ^at++++=a
given ^jj+atrb++xvbn+=given
region ^nn++++=region,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
assumption ^nn+nom+++=assumption
that ^tht+ncmp+++=that
legislators ^nns++++=legislators
with ^in++++=with
more ^ql++++=more
concentrated ^jj+atrb++xvbn+=concentrated
votes ^nns++++=votes
tend ^vb++++=tend
to ^to+vcmp+++=to
present ^vbi++++=present
a ^at++++=a
more ^rbr++++=more
particularistic ^jj+atrb+++=particularistic
behavior ^nn++++=behavior
( ^zz++++=(Carvalho,
carvalho ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Supposing ^vbg+vprv+tht0+xvbg+=Supposing
these ^dt+dem+++=these
representatives ^nns++++=representatives
would ^md+prd+++=would
tend ^vb++++=tend
to ^to+vcmp+++=to
lean ^vbi++++=lean
more ^rbr++++=more
on ^in++++=on
local ^jj+atrb+++=local
brokers ^nns+nom+++=brokers,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
expected ^vbd+vprv++xvbn+=expected
to ^to+vcmp+++=to
maximize ^vbi++++=maximize
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
accessing ^jj+atrb+++=accessing
accounts ^nns++++=accounts
of ^in++++=of
these ^dt+dem+++=these
relationships ^nns+nom+++=relationships.
. ^zz++++=EXTRAWORD
