According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
interviewees ^nns+nom+++=interviewees,
, ^zz++++=EXTRAWORD
state ^nn++++=state
representatives ^nns++++=representatives
usually ^rb+down+++=usually
collaborate ^nn+nom+++=collaborate
with ^in++++=with
national ^jj+atrb+++=national
representatives ^nns++++=representatives.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
partnerships ^nns+nom+++=partnerships
are ^vb+ber+vrb++=are
with ^in++++=with
members ^nns+nom+++=members
of ^in++++=of
different ^jj+atrb+++=different
parties ^nns++++=parties
but ^cc++++=but
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
region ^nn++++=region.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
division ^nn++++=division
of ^in++++=of
labor ^nn++++=labor
that ^tht+rel+subj++=that
pays ^vbz++++=pays
off ^rp+pl+++=off
for ^in++++=for
all ^abn++++=all
actors ^nns++++=actors
involved ^vbd+++xvbn+=involved.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
national ^jj+atrb+++=national
legislator ^nn++++=legislator
can ^md+pos+++=can
allocate ^nn+nom+++=allocate
greater ^jjr+atrb+++=greater
financial ^jj+atrb+++=financial
resources ^nns++++=resources
to ^in++++=to
municipalities ^nns+nom+++=municipalities
through ^in++++=through
budget ^nn++++=budget
amendments ^nns+nom+++=amendments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
representative ^nn++++=representative
has ^vbz+hvz+vrb++=has
closer ^rbr++++=closer
contacts ^nns++++=contacts
with ^in++++=with
the ^ati++++=the
region ^nn++++=region
and ^cc++++=and
voters ^nns++++=voters,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
in ^in++++=in
the ^ati++++=the
interviews ^nns++++=interviews.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
cases ^nns++++=cases
included ^vbd+++xvbn+=included
in ^in++++=in
our ^pp$+pp1+++=our
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
almost ^rb+hdg+++=almost
a ^at++++=a
fusion ^nn++++=fusion
between ^in++++=between
the ^ati++++=the
state ^nn++++=state
legislator ^nn++++=legislator
and ^cc++++=and
her ^pp$+pp3+++=her
national ^jj+atrb+++=national
partner ^nn++++=partner
s ^zz++++=s
office ^nn++++=office.
. ^zz++++=EXTRAWORD
In ^in++++=In
This ^dt+dem+++=this
Case ^nn++++=case,
 ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=they
Were ^vbd+bed+vrb++=were
Fellow ^jjb+atrb+++=fellow
Party ^nn++++=party
Members ^nns+nom+++=members.
 ^zz++++=EXTRAWORD
