Ordinarily ^rb+cnj+++=Ordinarily,
, ^zz++++=EXTRAWORD
the ^ati++++=the
conjunction ^nn+nom+++=conjunction
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
interpersonal ^jj+atrb+++=interpersonal
metafunction ^nn+nom+++=metafunction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysts ^nns++++=analysts
just ^rb+emph+++=just
considers ^nns+nom+++=considers
the ^ati++++=the
component ^nn++++=component
as ^in++++=as
communicating ^jj++++=communicating
something ^pn++++=something
to ^in++++=to
viewers ^nns+nom+++=viewers
in ^in++++=in
copresence ^nn+nom+++=copresence,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
being ^jj+++xvbg+=being
the ^ati++++=the
reason ^nn++++=reason
for ^in++++=for
accounting ^xvbg+++xvbg+=accounting
for ^in++++=for
its ^pp$+it+++=its
contribution ^nn+nom+++=contribution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
appearance ^nn+nom+++=appearance
of ^in++++=of
the ^ati++++=the
elements ^nns+nom+++=elements
in ^in++++=in
Figure ^nn++++=Figure
6 ^zz++++=6
informs ^vbz++++=informs
one ^pn++++=one
to ^in++++=to
quickly ^rb++++=quickly
remark ^vb++++=remark
that ^tht+vcmp+++=that
the ^ati++++=the
proliferation ^nn+nom+++=proliferation
presence ^nn+nom+++=presence
of ^in++++=of
nominal ^jj+atrb+++=nominal
items ^nns++++=items
in ^in++++=in
the ^ati++++=the
clauses ^nns++++=clauses
positions ^nns+nom+++=positions
the ^ati++++=the
residue ^nn++++=residue
as ^in++++=as
the ^ati++++=the
most ^ql+emph+++=most
operational ^jj++++=operational
in ^in++++=in
Figure ^nn++++=Figure
10 ^cd++++=10.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
communicator ^nn++++=communicator
prefers ^nns+nom+++=prefers
deploying ^vbg+++xvbg+=deploying
nouns ^nns++++=nouns
to ^to++++=to
persuade ^vbi++++=persuade
viewers ^nns+nom+++=viewers
than ^in++++=than
verbal ^jj+atrb+++=verbal
devices ^nns++++=devices.
. ^zz++++=EXTRAWORD
