Recent ^jj+atrb+++=Recent
studies ^nns++++=studies
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
Brazilian ^jj++++=Brazilian-Bolivian
- ^zz++++=EXTRAWORD
bolivian ^nn+++??+=EXTRAWORD
border ^nn++++=border
( ^zz++++=(Brasil
brasil ^nn+++??+=EXTRAWORD
ia ^nn+++??+=ia
and ^cc++++=and
Xapuri ^np+++??+=Xapuri
municipalites ^nns+++??+=municipalites)
) ^zz++++=EXTRAWORD
highlighted ^vbd+++xvbn+=highlighted
the ^ati++++=the
richness ^nn++++=richness
and ^cc++++=and
diversity ^nn++++=diversity
of ^in++++=of
sand ^nn++++=sand
fly ^vb++++=fly
species ^nns++++=species,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
Ny ^np+++??+=Ny.
. ^zz++++=EXTRAWORD
shawi ^nn+++??+=shawi
( ^zz++++=(Fraiha,
fraiha ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Ward ^nn++++=Ward
& ^zz++++=&
Ready ^jj++++=Ready,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981)
) ^zz++++=EXTRAWORD
e ^zz++++=e
Trichophoromyia ^np+++??+=Trichophoromyia
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
frequent ^jj+atrb+++=frequent
species ^nn++++=species
and ^cc++++=and,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
infected ^vpsv++by+xvbn+=infected
by ^in++++=by
Leishmania ^np+++??+=Leishmania
Dna ^np+++??+=DNA
[ ^zz++++=[3]
3 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
verified ^vwbn+vpub++xvbn+=verified
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
diversity ^nn++++=diversity
of ^in++++=of
species ^nns++++=species
vectors ^nns+++??+=vectors,
, ^zz++++=EXTRAWORD
captured ^j+++xvbn+=captured
in ^in++++=in
domiciliar ^nn+++??+=domiciliar
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
in ^in++++=in
forest ^nn++++=forest
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
noteworthy ^jj++++=noteworthy
in ^in++++=in
this ^dt+dem+++=this
locality ^nn++++=locality,
, ^zz++++=EXTRAWORD
the ^ati++++=the
description ^nn++++=description
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
species ^nns++++=species
and ^cc++++=and
revalidation ^nn+++??+=revalidation
of ^in++++=of
some ^dti++++=some
taxon ^nn++++=taxon
[ ^zz++++=[16,
16 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
17 ^cd++++=17,
, ^zz++++=EXTRAWORD
18 ^cd++++=18].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
