Our ^pp$+pp1+++=Our
analysis ^nn++++=analysis
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
formulations ^nns++++=formulations
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
important ^jj+atrb+++=important
tools ^nns++++=tools
in ^in++++=in
courtroom ^nn++++=courtroom
interaction ^nn++++=interaction
since ^cs+sub+++=since
the ^ati++++=the
questioners ^nns+++??+=questioners
can ^md+pos+++=can
selectively ^vb+++??+=selectively
preserve ^nn++++=preserve,
, ^zz++++=EXTRAWORD
omit ^vb++++=omit,
, ^zz++++=EXTRAWORD
alter ^vb++++=alter,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
add ^vb+vpub+++=add
to ^to++++=to
what ^wdt+who+++=what
the ^ati++++=the
interlocutors ^nns+++??+=interlocutors
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
relevant ^jj+pred+++=relevant
to ^to++++=to
consider ^vbi+vprv+tht0++=consider
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
by ^in++++=by
means ^nn++++=means
of ^in++++=of
a ^at++++=a
textual ^jj++++=textual-interactive
- ^zz++++=EXTRAWORD
interactive ^nn+++??+=EXTRAWORD
perspective ^nn++++=perspective
to ^in++++=to
the ^ati++++=the
spoken ^jj+atrb++xvbn+=spoken
language ^nn++++=language,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
observe ^vbi+vprv+++=observe
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
text ^nn++++=text
construction ^nn++++=construction
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
strategies ^nns+++??+=strategies
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
achieve ^vbi++++=achieve
the ^ati++++=the
interests ^nns++++=interests
and ^cc++++=and
purposes ^nns++++=purposes
of ^in++++=of
the ^ati++++=the
participants ^nns++++=participants
in ^in++++=in
this ^dt+dem+++=this
kind ^nn++++=kind
of ^in++++=of
forensic ^jj+atrb+++=forensic
context ^nn++++=context.
. ^zz++++=EXTRAWORD
