The ^ati++++=The
formative ^jj+atrb+++=formative
potential ^nn++++=potential
of ^in++++=of
Usr ^np+++??+=USR
resides ^nns+++??+=resides,
, ^zz++++=EXTRAWORD
fundamentally ^rb+cnj+++=fundamentally,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
it ^pp3+it+++=it
enables ^vbz++++=enables
the ^ati++++=the
realization ^nn++++=realization
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
tendency ^nn++++=tendency
to ^to+ncmp+++=to
learning ^vbi+vprv+++=learning
through ^in++++=through
imitation ^nn++++=imitation,
, ^zz++++=EXTRAWORD
recognized ^vpbn+vprv++xvbn+=recognized
by ^in++++=by
all ^abn++++=all
authors ^nns++++=authors
who ^whp+rel+subj++=who
serve ^vb++++=serve
as ^in++++=as
the ^ati++++=the
central ^jj+atrb+++=central
foundation ^nn++++=foundation
of ^in++++=of
this ^dt+dem+++=this
text ^nn++++=text.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
title ^nn++++=title
Minima ^np+++??+=Minima
moralia ^nn+++??+=moralia,
, ^zz++++=EXTRAWORD
Adorno ^np+++??+=Adorno
( ^zz++++=(1993:
1993 ^cd+date+++=EXTRAWORD
: ^zz++++=EXTRAWORD
147 ^cd++++=147)
) ^zz++++=EXTRAWORD
states ^np++++=states
that ^tht+rel+++=that
[ ^zz++++=[the]
the ^ati++++=EXTRAWORD
] ^zz++++=EXTRAWORD
human ^jj++++=human
clings ^vbz++++=clings
to ^in++++=to
imitation ^nn++++=imitation:
: ^zz++++=EXTRAWORD
a ^at++++=a
human ^nn++++=human
being ^xvbg+++xvbg+=being
becomes ^vbz++++=becomes
truly ^rb++++=truly
human ^jj++++=human
only ^rb+down+++=only
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
imitates ^nns+++??+=imitates
other ^ap++++=other
human ^jj+atrb+++=human
beings ^nns++++=beings
. ^zz++++=.
This ^dt+dem+++=This
aspect ^nn++++=aspect
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
think ^vbi+vprv+++=think
of ^in++++=of
Usr ^np+++??+=USR
as ^in++++=as
a ^at++++=a
privileged ^jj+atrb+++=privileged
instance ^nn++++=instance
for ^in++++=for
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
researchers ^nns+++??+=researchers'
' ^zz++++=EXTRAWORD
morality ^nn++++=morality,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Adorno ^np+++??+=Adorno
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
human ^jj+atrb+++=human
formation ^nn++++=formation
moves ^nns++++=moves
by ^in++++=by
mimetic ^nn+++??+=mimetic
identification ^nn++++=identification
with ^in++++=with
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
contain ^vb++++=contain
the ^ati++++=the
universal ^jj++++=universal,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
humanity ^nn++++=humanity.
. ^zz++++=EXTRAWORD
