Gaudecker ^np+++??+=Gaudecker
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
analyzing ^nn+++??+=analyzing
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
Netherlands ^np++++=Netherlands,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
total ^jj+atrb+++=total
hours ^nns++++=hours
worked ^vbd+++xvbn+=worked
reduced ^vbd+++xvbn+=reduced
more ^rbr++++=more
for ^in++++=for
the ^ati++++=the
self ^nn++++=self-employed,
- ^zz++++=EXTRAWORD
employed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
firms ^nns++++=firms
insure ^vb+vpub+++=insure
employees ^nns++++=employees
against ^in++++=against
transitory ^jj+atrb+++=transitory
shocks ^nns++++=shocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
workers ^nns++++=workers
with ^in++++=with
less ^rbr++++=less
education ^nn++++=education,
, ^zz++++=EXTRAWORD
since ^in++++=since
workers ^nns++++=workers
with ^in++++=with
higher ^jjr+atrb+++=higher
education ^nn++++=education
may ^md+pos+++=may
work ^vb++++=work
more ^ql++++=more
hours ^nns++++=hours
at ^in++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
authors ^nns++++=authors
divided ^vwbn+++xvbn+=divided
the ^ati++++=the
economic ^jj+atrb+++=economic
sectors ^nns++++=sectors
into ^in++++=into
two ^cd++++=two
clusters ^nns++++=clusters:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
dominated ^vpsv++by+xvbn+=dominated
by ^in++++=by
office ^nn++++=office
occupations ^nns++++=occupations
with ^in++++=with
high ^jj+atrb+++=high
participation ^nn++++=participation
of ^in++++=of
academics ^nns++++=academics,
, ^zz++++=EXTRAWORD
hours ^nns++++=hours
of ^in++++=of
work ^nn++++=work
at ^rb++++=at
home ^nr++++=home
and ^cc++++=and
a ^at++++=a
reduced ^jj+atrb++xvbn+=reduced
involvement ^nn++++=involvement
of ^in++++=of
essential ^jj+atrb+++=essential
workers ^nns++++=workers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
in ^in++++=in
which ^whp+rel+pied++=which
manual ^jj+atrb+++=manual
tasks ^nns++++=tasks
and ^cc++++=and
social ^jj+atrb+++=social
interactions ^nns++++=interactions
are ^vb+ber+vrb++=are
predominant ^jj+pred+++=predominant,
, ^zz++++=EXTRAWORD
with ^in++++=with
low ^jj+atrb+++=low
participation ^nn++++=participation
of ^in++++=of
academics ^nns++++=academics
and ^cc++++=and
hours ^nns++++=hours
of ^in++++=of
work ^nn++++=work
at ^rb++++=at
home ^nr++++=home
and ^cc++++=and
a ^at++++=a
greater ^jjr+atrb+++=greater
participation ^nn++++=participation
of ^in++++=of
essential ^jj+atrb+++=essential
workers ^nns++++=workers
( ^zz++++=(Gaudecker
gaudecker ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
