In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
aims ^vb++++=aims
to ^to+vcmp+++=to
identify ^vbi++++=identify
and ^cc+phrs+++=and
characterize ^vb++++=characterize
sub ^nn++++=sub-centralities
- ^zz++++=EXTRAWORD
centralities ^nns+++??+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Municipality ^nn++++=Municipality
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
future ^jjb+atrb+++=future
assessments ^nns++++=assessments
about ^in++++=about
employment ^nn++++=employment
decentralization ^nn++++=decentralization
and ^cc++++=and
housing ^nn++++=housing
prices ^nns++++=prices,
, ^zz++++=EXTRAWORD
commuting ^nn++++=commuting,
, ^zz++++=EXTRAWORD
transportation ^nn++++=transportation
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wage ^nn++++=wage
gradients ^nns++++=gradients.
. ^zz++++=EXTRAWORD
