Note ^vb++++=Note
that ^tht+vcmp+subj++=that
represents ^vbz++++=represents
a ^at++++=a
trait ^nn++++=trait
barrier ^nn++++=barrier
which ^whp+rel+subj++=which
dictates ^vbz+vsua+++=dictates
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
selection ^nn++++=selection
on ^in++++=on
a ^at++++=a
victim ^nn++++=victim
by ^in++++=by
a ^at++++=a
cheater ^nn+++??+=cheater
species ^nns++++=species.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
bij ^nn+++??+=bij
describes ^vbz++++=describes
that ^cs+sub+++=that
a ^at++++=a
potential ^jj+atrb+++=potential
mutualism ^nn+++??+=mutualism
or ^cc++++=or
cheating ^nvbg+++xvbg+=cheating
interaction ^nn++++=interaction
cannot ^md+pos+not++=cannot
occur ^vb++++=occur
because ^cs+cos+++=because
of ^in++++=of
a ^at++++=a
large ^jj+atrb+++=large
trait ^nn++++=trait
dissimilarity ^nn++++=dissimilarity
between ^in++++=between
partners ^nns++++=partners.
. ^zz++++=EXTRAWORD
By ^in++++=By
incorporating ^xvbg+++xvbg+=incorporating
bij ^nn+++??+=bij
in ^in++++=in
our ^pp$+pp1+++=our
model ^nn++++=model
we ^pp1a+pp1+++=we
explored ^vbd+++xvbn+=explored
how ^wrb+who+++=how
network ^nn++++=network
structure ^nn++++=structure
changes ^nns++++=changes
through ^in++++=through
time ^nn++++=time
as ^in++++=as
an ^at++++=an
outcome ^nn++++=outcome
of ^in++++=of
the ^ati++++=the
coevolutionary ^nn+++??+=coevolutionary
process ^nn++++=process.
. ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
in ^in++++=in
each ^dt++++=each
simulation ^nn++++=simulation
timestep ^nn+++??+=timestep,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
verified ^vbd+vpub++xvbn+=verified
if ^cs+cnd+++=if
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
interacting ^jj+atrb+++=interacting
species ^nn++++=species
with ^in++++=with
differences ^nns++++=differences
in ^in++++=in
trait ^nn++++=trait
values ^nns++++=values
higher ^jjr++++=higher
than ^in++++=than
bij ^nn+++??+=bij
Following ^vwbg+++xvbg+=Following
equation ^nn++++=equation
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
disconnected ^nn+++??+=disconnected
those ^dt+dem+++=those
interactions ^nns++++=interactions
generating ^vwbg+++xvbg+=generating
an ^at++++=an
interaction ^nn++++=interaction
loss ^nn++++=loss.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
focusing ^nn+++??+=focusing
on ^in++++=on
how ^wrb+who+++=how
the ^ati++++=the
network ^nn++++=network
changes ^nns++++=changes
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
interaction ^vb++++=interaction
loss ^nn++++=loss,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
the ^ati++++=the
interaction ^nn++++=interaction
is ^vbz+bez+aux++=is
lost ^vpsv++agls+xvbnx+=lost,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^vbz++++=remains
lost ^vbd+++xvbn+=lost
and ^cc++++=and
cannot ^md+pos+not++=cannot
reconnect ^vb+++??+=reconnect
during ^in++++=during
the ^ati++++=the
simulations ^nns+++??+=simulations.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
a ^at++++=a
simulation ^nn++++=simulation,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
may ^md+pos+++=may
have ^vb+hv+vrb++=have
an ^at++++=an
interaction ^nn++++=interaction
network ^nn++++=network
with ^in++++=with
a ^at++++=a
different ^jj+atrb+++=different
structure ^nn++++=structure
generated ^vbd+++xvbn+=generated
through ^in++++=through
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
links ^nns++++=links.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
then ^rn+tm+++=then
compared ^vbd+++xvbn+=compared
the ^ati++++=the
initial ^jj+atrb+++=initial
and ^cc+phrs+++=and
final ^jj+atrb+++=final
network ^nn++++=network
structure ^nn++++=structure
in ^in++++=in
each ^dt++++=each
particular ^jj+atrb+++=particular
simulation ^nn++++=simulation.
. ^zz++++=EXTRAWORD
