Spreading ^vbg+++xvbg+=Spreading
events ^nns++++=events
have ^vb+hv+aux++=have
become ^vb++++=become
more ^rbr++++=more
common ^jj++++=common
since ^cs+sub+++=since
vaccinated ^nn+++??+=vaccinated
individuals ^nns++++=individuals
engage ^vb++++=engage
with ^in++++=with
other ^ap++++=other
people ^nns++++=people
in ^in++++=in
social ^jj+atrb+++=social
events ^nns++++=events,
, ^zz++++=EXTRAWORD
with ^in++++=with
almost ^rb+hdg+++=almost
complete ^jj+atrb+++=complete
relaxation ^nn++++=relaxation
of ^in++++=of
safety ^nn++++=safety
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Interesting ^jj++++=Interesting
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
two ^cd++++=two
positive ^jj+atrb+++=positive
cases ^nns++++=cases
were ^vbd+bed+vrb++=were
from ^in++++=from
adolescents ^nns++++=adolescents
that ^tht+rel+subj++=that
decided ^vprf+++xvbn+=decided
not ^xnot++not++=not
to ^in++++=to
miss ^npt++++=miss
the ^ati++++=the
event ^nn++++=event
regardless ^rb++++=regardless
of ^in++++=of
their ^pp$+pp3+++=their
condition ^nn++++=condition.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
reckless ^jj+atrb+++=reckless
behavior ^nn++++=behavior
puts ^vbz++++=puts
other ^ap++++=other
people ^nns++++=people
in ^in++++=in
a ^at++++=a
vulnerable ^jj+atrb+++=vulnerable
position ^nn++++=position
where ^wrb+who+++=where
infection ^nn++++=infection
with ^in++++=with
a ^at++++=a
Voc ^np+++??+=VOC
is ^vbz+bez+vrb++=is
more ^rbr++++=more
probable ^jj+pred+++=probable,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
places ^nns++++=places
with ^in++++=with
high ^jj+atrb+++=high
community ^nn++++=community
transmission ^nn++++=transmission.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
show ^vb+vprv+++=show
the ^ati++++=the
permeability ^nn++++=permeability
of ^in++++=of
implementing ^xvbg+++xvbg+=implementing
a ^at++++=a
unique ^nn++++=unique
mitigating ^vwbg+++xvbg+=mitigating
strategy ^nn++++=strategy
thus ^rb+cnj+++=thus
evidencing ^vb+++??+=evidencing
the ^ati++++=the
urgency ^vb++++=urgency
to ^to+vcmp+++=to
communicate ^vbi++++=communicate
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
layering ^nn+++??+=layering
protective ^jj+atrb+++=protective
measures ^nns++++=measures
to ^to++++=to
reduce ^vbi++++=reduce
risk ^vb++++=risk
of ^in++++=of
transmission ^nn++++=transmission
and ^cc++++=and
infection ^nn++++=infection
during ^in++++=during
the ^ati++++=the
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
