There ^ex+pex+++=There
are ^vb+ber+vrb++=are
many ^ap++++=many
ways ^nns++++=ways
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
general ^jj+atrb+++=general
classification ^nn++++=classification
using ^vwbg+++xvbg+=using
the ^ati++++=the
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
. ^zz++++=.
When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
uses ^vbz++++=uses
a ^at++++=a
classification ^nn++++=classification
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
Olympic ^jj+atrb+++=Olympic
Medals ^nns++++=Medals
Table ^nn++++=Table
, ^zz++++=,
considering ^vbg+++xvbg+=considering
the ^ati++++=the
best ^jjt+atrb+++=best
performers ^nns++++=performers
as ^in++++=as
the ^ati++++=the
institutions ^nns++++=institutions
that ^tht+rel+subj++=that
obtained ^vbd+++xvbn+=obtained
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
maximum ^jj+atrb+++=maximum
scores ^nns++++=scores
( ^zz++++=(A).
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Scores ^nns++++=Scores
B ^zz++++=B
and ^cc++++=and
below ^in+pl+++=below
are ^vb+ber+aux++=are
only ^rb+down+splt++=only
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
tiebreakers ^nns+++??+=tiebreakers.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
implies ^vbz+vprv+++=implies,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
an ^at++++=an
Institution ^nn++++=Institution
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
20 ^cd++++=20
scores ^nns++++=scores
A ^at++++=A
and ^cc++++=and
16 ^cd++++=16
scores ^nns++++=scores
E ^zz++++=E
appears ^vbz+seem+++=appears
ahead ^rb+pl+++=ahead
of ^in++++=of
an ^at++++=an
institution ^nn++++=institution
that ^tht+rel+subj++=that
obtained ^vbd+++xvbn+=obtained
19 ^cd++++=19
scores ^nns++++=scores
A ^at++++=A
and ^cc++++=and
17 ^cd++++=17
scores ^nns++++=scores
B ^zz++++=B
. ^zz++++=.
This ^dt+dem+++=This
a ^at++++=a
questionable ^jj+atrb+++=questionable
rule ^nn++++=rule
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
general ^jj+atrb+++=general
classification ^nn++++=classification,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
almost ^rb+hdg+++=almost
do ^vb+do+aux++=do
not ^xnot++not++=not
differentiate ^vb++++=differentiate
B ^zz++++=B
from ^in++++=from
E ^zz++++=E
. ^zz++++=.
In ^in++++=In
an ^at++++=an
extreme ^jj+atrb+++=extreme
situation ^nn++++=situation,
, ^zz++++=EXTRAWORD
institutions ^nns++++=institutions
may ^md+pos+++=may
focus ^vb++++=focus
their ^pp$+pp3+++=their
activities ^nns++++=activities
on ^in++++=on
a ^at++++=a
smaller ^jjr+atrb+++=smaller
number ^nn++++=number
of ^in++++=of
Indicators ^nns++++=Indicators
and ^cc++++=and
neglect ^nn++++=neglect
completely ^rb+amp+++=completely
others ^aps++++=others
to ^to++++=to
obtain ^vbi++++=obtain
a ^at++++=a
better ^jjr+atrb+++=better
classification ^nn++++=classification,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
poor ^jj+atrb+++=poor
services ^nns++++=services
to ^in++++=to
their ^pp$+pp3+++=their
students ^nns++++=students
in ^in++++=in
some ^dti++++=some
aspects ^nns++++=aspects.
. ^zz++++=EXTRAWORD
