Da ^np+++??+=Da
Cunha ^np+++??+=Cunha
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
a ^at++++=a
randomized ^nn+++??+=randomized,
, ^zz++++=EXTRAWORD
triple ^jj++++=triple-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
clinical ^jj+atrb+++=clinical
study ^nn++++=study
with ^in++++=with
200 ^cd++++=200
patients ^nns++++=patients
who ^whp+rel+obj++=who
underwent ^nn+++??+=underwent
impacted ^nn+++??+=impacted
lower ^jjr++++=lower
third ^od++++=third
molar ^vb+++??+=molar
extraction ^nn++++=extraction,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
were ^vbd+bed+vrb++=were
asymptomatic ^nn+++??+=asymptomatic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
was ^vbd+bedz+aux++=was
to ^to++++=to
compare ^vbi++++=compare
the ^ati++++=the
anxiolytic ^nn+++??+=anxiolytic
effect ^nn++++=effect
of ^in++++=of
15 ^cd++++=15
mg ^nnu++++=mg
of ^in++++=of
Midazolan ^np+++??+=Midazolan,
, ^zz++++=EXTRAWORD
with ^in++++=with
500 ^cd++++=500
mg ^nnu++++=mg
of ^in++++=of
P ^zz++++=P.
. ^zz++++=EXTRAWORD
incarnata ^nn+++??+=incarnata,
, ^zz++++=EXTRAWORD
500 ^cd++++=500
mg ^nnu++++=mg
of ^in++++=of
E ^zz++++=E.
. ^zz++++=EXTRAWORD
mulungu ^nn+++??+=mulungu,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
the ^ati++++=the
comparison ^nn++++=comparison
with ^in++++=with
the ^ati++++=the
placebo ^nn+++??+=placebo
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
with ^in++++=with
patients ^nns++++=patients
being ^vwbg+beg++xvbg+=being
randomized ^nn+++??+=randomized
into ^in++++=into
four ^cd++++=four
groups ^nns++++=groups
where ^wrb+who+++=where
each ^dt++++=each
group ^nn++++=group
received ^vbd+++xvbn+=received
a ^at++++=a
different ^jj+atrb+++=different
medication ^nn++++=medication
60 ^cd++++=60
minutes ^nns++++=minutes
before ^in++++=before
the ^ati++++=the
surgical ^jj+atrb+++=surgical
procedure ^nn++++=procedure.
. ^zz++++=EXTRAWORD
The ^ati++++=The
participants ^nns++++=participants'
' ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety
level ^nn++++=level
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
using ^vbg+++xvbg+=using
questionnaires ^nns++++=questionnaires
and ^cc++++=and
measurements ^nns++++=measurements
of ^in++++=of
physical ^jj+atrb+++=physical
parameters ^nns++++=parameters.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
work ^nn++++=work
allowed ^vbd+++xvbn+=allowed
us ^pp1o+pp1+++=us
to ^to++++=to
conclude ^vbi+vprv+++=conclude
that ^tht+vcmp+++=that
Passiflora ^np+++??+=Passiflora
incarnata ^nn+++??+=incarnata
had ^vb+hv+vrb++=had
an ^at++++=an
effect ^nn++++=effect
similar ^jj++++=similar
to ^in++++=to
midazolam ^nn+++??+=midazolam,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
placebo ^nn+++??+=placebo
and ^cc++++=and
mulungu ^nn+++??+=mulungu
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
able ^jj++++=able
to ^to+jcmp+++=to
control ^vb++++=control
the ^ati++++=the
anxiety ^nn++++=anxiety
of ^in++++=of
these ^dt+dem+++=these
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
