These ^dt+dem+++=These
various ^jj+atrb+++=various
aspects ^nns++++=aspects
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
much ^rb++++=much
plausible ^jj+atrb+++=plausible
explanation ^nn++++=explanation
for ^in++++=for
the ^ati++++=the
differences ^nns++++=differences
in ^in++++=in
mortality ^nn++++=mortality
from ^in++++=from
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
comparing ^jj+++xvbg+=comparing
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
and ^cc++++=and
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
crisis ^nn++++=crisis
revigorated ^nn+++??+=revigorated
an ^at++++=an
old ^jj+atrb+++=old
principle ^nn++++=principle
of ^in++++=of
Public ^jj+atrb+++=Public
Health ^nn++++=Health,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
says ^vbz+vpub+++=says
that ^tht+vcmp+++=that
political ^jj+atrb+++=political
power ^nn++++=power
to ^to+ncmp+++=to
implement ^vbi++++=implement
measures ^nns++++=measures
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
cornerstones ^nns+++??+=cornerstones
of ^in++++=of
success ^nn++++=success.
. ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
discrepancy ^nn++++=discrepancy
can ^md+pos+++=can
in ^in++++=in
part ^nn++++=part
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
intense ^jj+atrb+++=intense
political ^jj+atrb+++=political
conflicts ^nns++++=conflicts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
national ^jj+atrb+++=national
government ^nn++++=government
is ^vbz+bez+vrb++=is
negationist ^nn+++??+=negationist,
, ^zz++++=EXTRAWORD
never ^rb++++=never
planned ^vbd+++xvbn+=planned
a ^at++++=a
pandemic ^nn+++??+=pandemic
response ^nn++++=response,
, ^zz++++=EXTRAWORD
never ^rb++++=never
articulated ^nn+++??+=articulated
municipalities ^nns+++??+=municipalities,
, ^zz++++=EXTRAWORD
states ^nns++++=states,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
federal ^jj+atrb+++=federal
government ^nn++++=government
to ^to++++=to
face ^vbi++++=face
and ^cc++++=and
to ^to++++=to
prepare ^vbi++++=prepare
in ^in++++=in
advance ^nn++++=advance
for ^in++++=for
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
municipality ^nn++++=municipality
and ^cc++++=and
state ^nn++++=state-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
government ^nn++++=government
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
until ^in++++=until
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
in ^in++++=in
line ^nn++++=line
with ^in++++=with
the ^ati++++=the
federal ^jj+atrb+++=federal
government ^nn++++=government
and ^cc++++=and
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
in ^in++++=in
many ^ap++++=many
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
preparedness ^vb+++??+=preparedness
to ^to+vcmp+++=to
deal ^vbi++++=deal
with ^in+ppvb+++=with
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
governor ^nn++++=governor's
's ^$++++=EXTRAWORD
impeachment ^nn++++=impeachment
aggravated ^vbd+++xvbn+=aggravated
the ^ati++++=the
situation ^nn++++=situation
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+vrb++=be
responsible ^jj+pred+++=responsible
for ^in++++=for
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
excess ^nn++++=excess
mortality ^nn++++=mortality.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
municipality ^nn++++=municipality
together ^rb++++=together
with ^in++++=with
the ^ati++++=the
state ^nn++++=state-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
government ^nn++++=government
planned ^vwbn+++xvbn+=planned
the ^ati++++=the
actions ^nns++++=actions
to ^in++++=to
expedite ^nn+++??+=expedite
the ^ati++++=the
opening ^jj+++xvbg+=opening
of ^in++++=of
hospital ^npl++++=hospital
beds ^nns++++=beds
and ^cc++++=and
hospital ^npl++++=hospital
care ^nn++++=care,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
preventive ^jj+atrb+++=preventive
measures ^nns++++=measures
have ^vb+hv+aux++=have
fallen ^vprf+++xvbn+=fallen
short ^jj++++=short
of ^in++++=of
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
for ^in++++=for
both ^abx++++=both
rio ^np++++=Rio
de ^&fw++++=de
janeiro ^np++++=Janeiro
and ^cc++++=and
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo.
. ^zz++++=EXTRAWORD
