Some ^dti++++=Some
customers ^nns++++=customers
stop ^vb++++=stop
buying ^vbg+++xvbg+=buying
the ^ati++++=the
firm ^jj+atrb+++=firm
s ^zz++++=s
products ^nns++++=products
or ^cc++++=or
some ^dti++++=some
members ^nns++++=members
leave ^vb++++=leave
the ^ati++++=the
organization ^nn++++=organization:
: ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
exit ^nn++++=exit
option ^nn++++=option.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
revenues ^nns++++=revenues
drop ^nn++++=drop,
, ^zz++++=EXTRAWORD
membership ^nn++++=membership
declines ^vbz++++=declines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
management ^nn++++=management
is ^vbz+bez+aux++=is
impelled ^vpsv++agls+xvbnx+=impelled
to ^to++++=to
search ^vbi++++=search
for ^in++++=for
ways ^nns++++=ways
and ^cc++++=and
means ^nns++++=means
to ^in++++=to
correct ^jj++++=correct
whatever ^wdt+who+++=whatever
fault ^nn++++=fault
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
to ^in++++=to
exit ^nn++++=exit
( ^zz++++=(Hirschman,
hirschman ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1970 ^cd+date+++=1970,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
