Rivers ^nns++++=Rivers
are ^vb+ber+vrb++=are
streams ^nns++++=streams
which ^whp+rel+obj++=which
flow ^nn++++=flow
from ^in++++=from
a ^at++++=a
higher ^jjr+atrb+++=higher
region ^nn++++=region
towards ^in++++=towards
a ^at++++=a
place ^nn++++=place
with ^in++++=with
lower ^jjr+atrb+++=lower
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
mouth ^nn++++=mouth
can ^md+pos+++=can
occur ^vb++++=occur
in ^in++++=in
seas ^nns++++=seas,
, ^zz++++=EXTRAWORD
lakes ^nns++++=lakes
or ^cc++++=or
larger ^jjr+atrb+++=larger
rivers ^nns++++=rivers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
waters ^nns++++=waters
of ^in++++=of
the ^ati++++=the
fluvial ^nn+++??+=fluvial
flow ^nn++++=flow
can ^md+pos+++=can
come ^vb++++=come
from ^in+ppvb+++=from
distinct ^jj+atrb+++=distinct
sources ^nns++++=sources,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
melting ^nn++++=melting
glaciers ^nns++++=glaciers,
, ^zz++++=EXTRAWORD
rainfall ^nn++++=rainfall
and ^cc++++=and
groundwater ^nn+++??+=groundwater
( ^zz++++=(DUNN,
dunn ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
unidirectional ^nn+++??+=unidirectional
flow ^nn++++=flow
of ^in++++=of
waters ^nns++++=waters
favors ^nns+++??+=favors
the ^ati++++=the
establishment ^nn++++=establishment
of ^in++++=of
different ^jj+atrb+++=different
habitats ^nns+++??+=habitats,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
dwell ^vb++++=dwell
different ^jj+atrb+++=different
species ^nn++++=species
of ^in++++=of
fauna ^nn++++=fauna
and ^cc++++=and
flora ^np++++=flora
( ^zz++++=(BUSS,
buss ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
water ^nn++++=water
courses ^nns++++=courses
have ^vb+hv+vrb++=have
several ^ap++++=several
ecological ^nn+++??+=ecological
functions ^nns++++=functions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
regulation ^nn++++=regulation
of ^in++++=of
erosion ^nn++++=erosion
and ^cc++++=and
deposition ^nn++++=deposition
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
sediment ^nn+++??+=sediment
transport ^nn++++=transport,
, ^zz++++=EXTRAWORD
maintenance ^nn++++=maintenance
of ^in++++=of
the ^ati++++=the
hydrological ^nn+++??+=hydrological
cycle ^nn++++=cycle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
( ^zz++++=(ANA,
ana ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
play ^vb++++=play
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
role ^nn++++=role
for ^in++++=for
the ^ati++++=the
human ^jj+atrb+++=human
survival ^nn++++=survival,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
provide ^vb+vsua+++=provide
several ^ap++++=several
essential ^jj+atrb+++=essential
environmental ^jj+atrb+++=environmental
services ^nns++++=services.
. ^zz++++=EXTRAWORD
