During ^in++++=During
the ^ati++++=the
face ^nn++++=face-to-face
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
training ^nn++++=training,
, ^zz++++=EXTRAWORD
the ^ati++++=the
research ^nn++++=research
team ^nn++++=team
and ^cc++++=and
medical ^jj+atrb+++=medical
infectologist ^nn+++??+=infectologist
responsible ^jj++++=responsible
for ^in++++=for
the ^ati++++=the
team ^nn++++=team's
's ^$++++=EXTRAWORD
biosafety ^nn+++??+=biosafety
were ^vbd+bed+aux++=were
present ^vb++++=present.
. ^zz++++=EXTRAWORD
The ^ati++++=The
health ^nn++++=health
monitoring ^vwbg+++xvbg+=monitoring
of ^in++++=of
the ^ati++++=the
interviewers ^nns++++=interviewers
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
through ^in++++=through
periodic ^jj+atrb+++=periodic
evaluation ^nn++++=evaluation,
, ^zz++++=EXTRAWORD
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
each ^dt++++=each
stage ^nn++++=stage
of ^in++++=of
the ^ati++++=the
survey ^nn++++=survey,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
health ^nn++++=health
questionnaires ^nns++++=questionnaires
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
serological ^jj+atrb+++=serological
testing ^nn++++=testing
( ^zz++++=(immunochromatography
immunochromatography ^nn++++=EXTRAWORD
reaction ^nn++++=reaction).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
