Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
The ^ati++++=The
aim ^nn++++=aim
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+aux++=was
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
prevalence ^nn+++??+=prevalence
and ^cc++++=and
dynamics ^nn++++=dynamics
of ^in++++=of
Sars ^np+++??+=SARS-CoV2
- ^zz++++=EXTRAWORD
cov2 ^nn+++??+=EXTRAWORD
infection ^nn++++=infection
in ^in++++=in
the ^ati++++=the
population ^nn++++=population
of ^in++++=of
two ^cd++++=two
Brazilian ^jj+atrb+++=Brazilian
cities ^nns++++=cities
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic
first ^rb++++=first
wave ^nn++++=wave
and ^cc++++=and
subsequent ^jj+atrb+++=subsequent
socioeconomic ^nn++++=socioeconomic
and ^cc++++=and
health ^nn++++=health
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
