Habitat ^nn++++=Habitat
and ^cc++++=and
distribution ^nn++++=distribution
Pleroma ^np+++??+=Pleroma
eglanduliferum ^nn+++??+=eglanduliferum
is ^vbz+bez+vrb++=is
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
known ^j+++xvbn+=known
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
of ^in++++=of
Rio ^np+++??+=Rio
Preto ^np+++??+=Preto
( ^zz++++=(figure
figure ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
region ^nn++++=region
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
rocky ^jj+atrb+++=rocky
fields ^nns++++=fields
on ^in++++=on
sandy ^np++++=sandy
soil ^nn++++=soil
with ^in++++=with
outcrops ^nns++++=outcrops,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
rise ^nn++++=rise
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
abruptly ^rb++++=abruptly
above ^jjb++++=above
the ^ati++++=the
surrounding ^jj+atrb++xvbg+=surrounding
landscape ^nn++++=landscape
dominated ^vwbn+++xvbn+=dominated
by ^in++++=by
the ^ati++++=the
Atlantic ^np++++=Atlantic
Rain ^nn++++=Rain
Forest ^nn++++=Forest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
habitat ^nn++++=habitat
of ^in++++=of
P ^zz++++=P.
. ^zz++++=EXTRAWORD
eglanduliferum ^nn+++??+=eglanduliferum
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
rather ^rb++++=rather
sparse ^jj+atrb++??+=sparse
herbaceous ^jj+atrb+++=herbaceous
and ^cc+phrs+++=and
shrubby ^jj+atrb++??+=shrubby
vegetation ^nn++++=vegetation,
, ^zz++++=EXTRAWORD
growing ^vbg+++xvbg+=growing
on ^in+ppvb+++=on
rocky ^jj+atrb+++=rocky
outcrop ^nn++++=outcrop
with ^in++++=with
high ^jj+atrb+++=high
solar ^jj+atrb+++=solar
incidence ^nn++++=incidence
during ^in++++=during
the ^ati++++=the
day ^nn++++=day
( ^zz++++=(figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
