L.kollmann ^np+++??+=L.Kollmann
& ^zz++++=&
R.goldenb ^np+++??+=R.Goldenb.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
P.j.f.guim ^np+++??+=P.J.F.Guim.
. ^zz++++=EXTRAWORD
& ^zz++++=&
Michelang ^np+++??+=Michelang.
. ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
closely ^rb++splt++=closely
related ^vpsv++by+xvbnx+=related
by ^in++++=by
plant ^nn++++=plant
architecture ^nn++++=architecture,
, ^zz++++=EXTRAWORD
with ^in++++=with
quadrangular ^nn+++??+=quadrangular
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
similar ^jj+atrb+++=similar
leaf ^nn++++=leaf
shape ^nn++++=shape
and ^cc++++=and
indument ^nn+++??+=indument,
, ^zz++++=EXTRAWORD
thysoid ^nn+++??+=thysoid
inflorescences ^nns+++??+=inflorescences,
, ^zz++++=EXTRAWORD
5 ^zz++++=5-merous
- ^zz++++=EXTRAWORD
merous ^nns+++??+=EXTRAWORD
flowers ^nns++++=flowers,
, ^zz++++=EXTRAWORD
purple ^jj+atrb+++=purple
petals ^nns++++=petals
and ^cc++++=and
stamens ^nns+++??+=stamens
with ^in++++=with
glandular ^nn+++??+=glandular
trichomes ^nns+++??+=trichomes
on ^in++++=on
their ^pp$+pp3+++=their
filaments ^nns++++=filaments.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
important ^jj+pred+++=important
to ^to+jcmp+++=to
highlight ^vb++++=highlight
that ^tht+rel+++=that
all ^abn++++=all
the ^ati++++=the
three ^cd++++=three
species ^nns++++=species
share ^vb++++=share
similar ^jj+atrb+++=similar
habitat ^nn++++=habitat
growing ^vwbg+++xvbg+=growing
on ^in++++=on
rocky ^jj+atrb+++=rocky
outcrops ^nns++++=outcrops.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
heteromallum ^nn+++??+=heteromallum
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
P ^zz++++=P.
. ^zz++++=EXTRAWORD
eglanduliferum ^nn+++??+=eglanduliferum
by ^in++++=by
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
glandular ^nn+++??+=glandular
trichomes ^nns+++??+=trichomes
in ^in++++=in
the ^ati++++=the
pedoconnective ^nn+++??+=pedoconnective
of ^in++++=of
the ^ati++++=the
antisepalous ^nns+++??+=antisepalous
stamens ^nns+++??+=stamens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bracteoles ^nns+++??+=bracteoles
slightly ^rb+down+++=slightly
smaller ^jjr++++=smaller
than ^in++++=than
the ^ati++++=the
hypanthium ^nn+++??+=hypanthium.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
tedescoi ^nn+++??+=tedescoi
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
P ^zz++++=P.
. ^zz++++=EXTRAWORD
eglanduliferum ^nn+++??+=eglanduliferum
in ^in++++=in
having ^xvbg+++xvbg+=having
hypanthia ^jj+++??+=hypanthia
covered ^jj+++xvbn+=covered
with ^in++++=with
glandular ^nn+++??+=glandular
trichomes ^nns+++??+=trichomes,
, ^zz++++=EXTRAWORD
isomorphic ^nn+++??+=isomorphic
stamens ^nns+++??+=stamens
between ^in++++=between
the ^ati++++=the
whorle ^nn+++??+=whorle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bracteoles ^nns++++=bracteoles
slightly ^rb+down+++=slightly
smaller ^jjr++++=smaller
than ^in++++=than
the ^ati++++=the
hypanthia ^nn++++=hypanthia.
. ^zz++++=EXTRAWORD
