Abcsim ^np+++??+=AbCSim
provides ^vbz+vsua+++=provides
information ^vb++++=information
that ^tht+vcmp+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^in++++=to
quantify ^nn+++??+=quantify
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
different ^jj+atrb+++=different
health ^nn++++=health
policies ^nns++++=policies
at ^in++++=at
local ^jj+atrb+++=local
level ^nn++++=level.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
features ^nns++++=features
make ^vb++++=make
this ^dt+dem+++=this
model ^nn++++=model
a ^at++++=a
useful ^jj+atrb+++=useful
tool ^nn++++=tool
for ^in++++=for
decision ^nn++++=decision
making ^vwbg+++xvbg+=making
with ^in++++=with
the ^ati++++=the
goal ^nn++++=goal
of ^in++++=of
assessing ^xvbg+++xvbg+=assessing
the ^ati++++=the
utilization ^nn+++??+=utilization
of ^in++++=of
the ^ati++++=the
health ^nn++++=health
care ^nn++++=care
system ^nn++++=system,
, ^zz++++=EXTRAWORD
preventing ^vbg+++xvbg+=preventing
it ^pp3+it+++=it
from ^in++++=from
collapsing ^xvbg+++xvbg+=collapsing,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
including ^in++++=including
a ^at++++=a
contextualization ^nn+++??+=contextualization
of ^in++++=of
people ^nns++++=people
in ^in++++=in
their ^pp$+pp3+++=their
local ^jj+atrb+++=local
economic ^jj+atrb+++=economic
and ^cc+phrs+++=and
social ^jj+atrb+++=social
environment ^nn++++=environment.
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
works ^nns++++=works
will ^md+prd+++=will
present ^vb++++=present
several ^ap++++=several
case ^nn++++=case
studies ^nns++++=studies
in ^in++++=in
this ^dt+dem+++=this
regard ^nn++++=regard,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
this ^dt+dem+++=this
model ^nn++++=model
to ^in++++=to
other ^ap++++=other
cities ^nns++++=cities
or ^cc++++=or
even ^rb++++=even
at ^rb++++=at
state ^nn++++=state
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
The ^ati++++=The
extension ^nn++++=extension
of ^in++++=of
this ^dt+dem+++=this
model ^nn++++=model
to ^to++++=to
consider ^vbi+vprv+++=consider
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
vaccination ^nn++++=vaccination
campaigns ^nns++++=campaigns
and ^cc++++=and
different ^jj+atrb+++=different
virus ^nn++++=virus
variants ^nns++++=variants
will ^md+prd+++=will
be ^vb+be+aux++=be
also ^rb++splt++=also
presented ^vpsv++agls+xvbn+=presented.
. ^zz++++=EXTRAWORD
