Robust ^jj+atrb+++=Robust
plants ^nns++++=plants
with ^in++++=with
oblong ^jj++++=oblong-lanceolate
- ^zz++++=EXTRAWORD
lanceolate ^nn+++??+=EXTRAWORD
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
short ^jj++++=short
acute ^jj++++=acute
or ^cc++++=or
cuspidate ^nn+++??+=cuspidate,
, ^zz++++=EXTRAWORD
margin ^nn++++=margin
unbordered ^nn+++??+=unbordered
and ^cc++++=and
entire ^jjb++++=entire.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
samples ^nns++++=samples
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
as ^ql++++=as
rupicolous ^vbz+++??+=rupicolous
in ^in++++=in
a ^at++++=a
humid ^jj+atrb+++=humid
environment ^nn++++=environment.
. ^zz++++=EXTRAWORD
Occurs ^vbz++++=Occurs
throughout ^in++++=throughout
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
( ^zz++++=(montane
montane ^nn+++??+=EXTRAWORD
and ^cc++++=and
high ^jj+atrb+++=high
montane ^nn+++??+=montane)
) ^zz++++=EXTRAWORD
recorded ^jj+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Es ^&fw++++=ES,
, ^zz++++=EXTRAWORD
Mg ^nnu++++=MG,
, ^zz++++=EXTRAWORD
rj ^np++++=RJ,
, ^zz++++=EXTRAWORD
rs ^np++++=RS
and ^cc++++=and
sc ^np++++=SC.
. ^zz++++=EXTRAWORD
brazilian ^jj++++=Brazilian
endemic ^jj++++=endemic.
. ^zz++++=EXTRAWORD
