Altitudinal ^np+++??+=Altitudinal
zones ^nns++++=zones
Ii ^np+++??+=II
and ^cc++++=and
Iii ^np+++??+=III
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
largest ^jjt+atrb+++=largest
number ^nn++++=number
of ^in++++=of
families ^nns++++=families,
, ^zz++++=EXTRAWORD
12 ^cd++++=12
and ^cc++++=and
17 ^cd++++=17,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
( ^zz++++=(figure
figure ^nn++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
families ^nns++++=families
were ^vbd+bed+aux++=were
only ^rb+down+splt++=only
present ^vb++++=present
in ^in++++=in
one ^cd1++++=one
altitudinal ^nn+++??+=altitudinal
zone ^nn++++=zone:
: ^zz++++=EXTRAWORD
Pterobryaceae ^np+++??+=Pterobryaceae
( ^zz++++=(1sp)
1sp ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
zone ^nn++++=zone
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
Orthotrichaceae ^np+++??+=Orthotrichaceae
( ^zz++++=(2sp),
2sp ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Calymperaceae ^np+++??+=Calymperaceae
and ^cc++++=and
Rhacocarpaceae ^np+++??+=Rhacocarpaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
sp ^&fo++++=sp)
) ^zz++++=EXTRAWORD
in ^in++++=in
zone ^nn++++=zone
Ii ^np+++??+=II;
; ^zz++++=EXTRAWORD
Mniaceae ^np+++??+=Mniaceae
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
sp ^&fo++++=sp),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Phyllogoniaceae ^np+++??+=Phyllogoniaceae,
, ^zz++++=EXTRAWORD
Pilotrichaceae ^np+++??+=Pilotrichaceae
and ^cc++++=and
Neckeraceae ^np+++??+=Neckeraceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
sp ^&fo++++=sp)
) ^zz++++=EXTRAWORD
in ^in++++=in
zone ^nn++++=zone
Iii ^np+++??+=III;
; ^zz++++=EXTRAWORD
Hedwigiaceae ^np+++??+=Hedwigiaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
sp ^&fo++++=sp)
) ^zz++++=EXTRAWORD
in ^in++++=in
zone ^nn++++=zone
Iv ^np+++??+=IV.
. ^zz++++=EXTRAWORD
The ^ati++++=The
family ^nn++++=family
Bryaceae ^np+++??+=Bryaceae
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
common ^jj++++=common,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
present ^vb++++=present
in ^in++++=in
all ^abn++++=all
zones ^nns++++=zones,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
greater ^jjr+atrb+++=greater
richness ^nn++++=richness
in ^in++++=in
zone ^nn++++=zone
Iii ^np+++??+=III
with ^in++++=with
a ^at++++=a
total ^nn++++=total
of ^in++++=of
four ^cd++++=four
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below
is ^vbz+bez+vrb++=is
a ^at++++=a
diagnostic ^nn+++??+=diagnostic
characterization ^nn++++=characterization
for ^in++++=for
endemic ^jj+atrb+++=endemic
and ^cc+phrs+++=and
new ^jj+atrb+++=new
citations ^nns+++??+=citations
( ^zz++++=(*),
