Slender ^jj+atrb+++=Slender
and ^cc+phrs+++=and
small ^jj+atrb+++=small
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
julaceous ^nns+++??+=julaceous,
, ^zz++++=EXTRAWORD
concave ^nn+++??+=concave
and ^cc++++=and
ovate ^nn+++??+=ovate-lanceolate
- ^zz++++=EXTRAWORD
lanceolate ^nn+++??+=EXTRAWORD
to ^in++++=to
short ^jj+atrb+++=short
ovate ^nn+++??+=ovate,
, ^zz++++=EXTRAWORD
with ^in++++=with
margins ^nns++++=margins
crenulate ^nn+++??+=crenulate
in ^in++++=in
the ^ati++++=the
upper ^jjb+atrb+++=upper
portion ^nn++++=portion
and ^cc++++=and
apex ^nn++++=apex
erect ^jj++++=erect.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
samples ^nns++++=samples
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
on ^in++++=on
soil ^nn++++=soil
and ^cc++++=and
rocks ^nns++++=rocks
near ^in+cmpx+++=near
to ^in"++++=to
the ^ati++++=the
waterfall ^nn++++=waterfall,
, ^zz++++=EXTRAWORD
in ^in++++=in
general ^nn++++=general
occurs ^vbz++++=occurs
as ^ql++++=as
rupicolous ^nns+++??+=rupicolous
in ^in++++=in
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
( ^zz++++=(high
high ^jj+atrb+++=EXTRAWORD
montane ^nn+++??+=montane),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
recorded ^j+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Es ^&fw++++=ES,
 ^zz++++=EXTRAWORD
Mg ^nnu++++=MG
And ^cc++++=and
Rj ^np++++=RJ,
 ^zz++++=EXTRAWORD
Throughout ^in++++=throughout
The ^ati++++=the
Tropics ^nns++++=tropics.
 ^zz++++=EXTRAWORD
