Recently ^rb+cnj+++=Recently,
, ^zz++++=EXTRAWORD
an ^at++++=an
interview ^nn++++=interview
was ^vbd+bedz+aux++=was
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
Paris ^np++++=Paris
with ^in++++=with
Noah ^np++++=Noah
Webster ^np++++=Webster
Sobe ^np+++??+=Sobe,
, ^zz++++=EXTRAWORD
Senior ^nn++++=Senior
Project ^nn++++=Project
Official ^jj++++=Official
in ^in++++=in
the ^ati++++=the
Research ^nn++++=Research
and ^cc++++=and
Foresight ^nn++++=Foresight
in ^in++++=in
Education ^nn++++=Education
at ^in++++=at
Unesco ^np+++??+=UNESCO
and ^cc++++=and
collaborator ^nn+++??+=collaborator
in ^in++++=in
the ^ati++++=the
project ^nn++++=project
Futures ^np+++??+=Futures
of ^in++++=of
Education ^nn++++=Education:
: ^zz++++=EXTRAWORD
Learning ^vbg+vprv++xvbg+=Learning
to ^to+vcmp+++=to
Become ^vbi++++=Become.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interview ^nn++++=interview
follows ^vbz+vprv+++=follows
the ^ati++++=the
steps ^nns++++=steps
of ^in++++=of
Faure ^np+++??+=Faure
s ^zz++++=s
report ^vb++++=report
of ^in++++=of
1972 ^cd+date+++=1972,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
Learning ^vb+++xvbg+=Learning
to ^to+vcmp+++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
by ^in++++=by
Delors ^np+++??+=Delors,
, ^zz++++=EXTRAWORD
of ^in++++=of
1996 ^cd+date+++=1996,
, ^zz++++=EXTRAWORD
titled ^jj+atrb++xvbn+=titled
Learning ^nvbg+vprv++xvbg+=Learning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
treasure ^nn++++=treasure
within ^in++++=within
( ^zz++++=(Vidal
vidal ^nn+++??+=EXTRAWORD
& ^zz++++=&
Bontempi ^np+++??+=Bontempi
Jr ^np+++??+=Jr,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
worth ^in++++=worth
paying ^xvbg+++xvbg+=paying
close ^jj+atrb+++=close
attention ^nn++++=attention
to ^in++++=to
this ^dt+dem+++=this
additional ^jj+atrb+++=additional
initiative ^nn++++=initiative
by ^in++++=by
Unesco ^np+++??+=UNESCO
regarding ^in++++=regarding
the ^ati++++=the
project ^nn++++=project
Futures ^np+++??+=Futures
of ^in++++=of
Education ^nn++++=Education:
: ^zz++++=EXTRAWORD
Learning ^vbg+vprv++xvbg+=Learning
to ^to+vcmp+++=to
Become ^vbi++++=Become,
, ^zz++++=EXTRAWORD
led ^xvbn+++xvbn+=led
by ^in++++=by
Sobe ^np+++??+=Sobe
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
recognizing ^xvbg+++xvbg+=recognizing
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
school ^nn++++=school
as ^ql++++=as
a ^at++++=a
physical ^jj+atrb+++=physical
space ^nn++++=space
that ^tht+rel+subj++=that
brings ^vbz++++=brings
together ^rb++++=together
pupils ^nns++++=pupils
and ^cc++++=and
teachers ^nns++++=teachers
in ^in++++=in
the ^ati++++=the
learning ^jj+atrb++xvbg+=learning
process ^nn++++=process
( ^zz++++=(Vidal
vidal ^nn+++??+=EXTRAWORD
& ^zz++++=&
Bontempi ^np+++??+=Bontempi
Jr ^np+++??+=Jr,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
6 ^zz++++=6),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ponders ^nns++++=ponders
that ^tht+rel+++=that:
: ^zz++++=EXTRAWORD
