Among ^in++++=Among
the ^ati++++=the
new ^jj+atrb+++=new
possibilities ^nns++++=possibilities,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
stands ^vbz++++=stands
out ^rp+pl+++=out:
: ^zz++++=EXTRAWORD
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
learn ^vbi+vprv+++=learn
in ^in++++=in
spaces ^nns++++=spaces
never ^rb++++=never
before ^cs+sub+++=before
considered ^vbd+vprv++xvbn+=considered
adequate ^jj++++=adequate
for ^in++++=for
learning ^xvbg+++xvbg+=learning
( ^zz++++=(Coutinho
coutinho ^nn+++??+=EXTRAWORD
& ^zz++++=&
Lisb ^np+++??+=Lisb
a ^at++++=a,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
Colombian ^np+++??+=Colombian
researcher ^nn++++=researcher
Ernesto ^np+++??+=Ernesto
Noguera ^np+++??+=Noguera-Ram
- ^zz++++=EXTRAWORD
ram ^vb++++=EXTRAWORD
rez ^nn+++??+=rez
( ^zz++++=(2009,
2009 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
13 ^cd++++=13),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
passage ^nn++++=passage
into ^in++++=into
a ^at++++=a
society ^nn++++=society
of ^in++++=of
knowledge ^nn++++=knowledge
places ^nns++++=places
the ^ati++++=the
educated ^jj+atrb++xvbn+=educated
person ^nn++++=person
at ^in++++=at
the ^ati++++=the
center ^nn+++??+=center
of ^in++++=of
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
Knowledge ^nn++++=Knowledge
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
the ^ati++++=the
monopoly ^nn++++=monopoly
of ^in++++=of
schooling ^nn++++=schooling
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
responsibility ^nn++++=responsibility
of ^in++++=of
all ^abn++++=all
subjects ^nns++++=subjects.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
learning ^jj+atrb++xvbg+=learning
society ^nn++++=society,
, ^zz++++=EXTRAWORD
a ^at++++=a
diversity ^nn++++=diversity
of ^in++++=of
spaces ^nns++++=spaces,
, ^zz++++=EXTRAWORD
including ^in++++=including
virtual ^jj+atrb+++=virtual
spaces ^nns++++=spaces,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
become ^vb++++=become
learning ^vbg+vprv++xvbg+=learning
ambiances ^nns+++??+=ambiances,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
the ^ati++++=the
individuals ^nns++++=individuals
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
govern ^vb++++=govern
themselves ^ppls+pp3+++=themselves;
; ^zz++++=EXTRAWORD
in ^in++++=in
such ^abl++++=such
societies ^nns++++=societies
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
individuals ^nns++++=individuals
to ^to++++=to
continually ^rb++splt++=continually
learn ^vbi+vprv+++=learn
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
their ^pp$+pp3+++=their
entire ^jjb+atrb+++=entire
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
