Data ^nns++++=Data
were ^vbd+bed+aux++=were
checked ^vpsv++agls+xvbnx+=checked
for ^in++++=for
normality ^nn++++=normality
( ^zz++++=(Shapiro-Wilk
shapiro ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
wilk ^nn+++??+=EXTRAWORD
test ^nn++++=test)
) ^zz++++=EXTRAWORD
and ^cc++++=and
variance ^nn++++=variance
homogeneity ^nn++++=homogeneity
( ^zz++++=(Levene
levene ^nn+++??+=EXTRAWORD
s ^zz++++=s
test ^nn++++=test).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
statistical ^jj+atrb+++=statistical
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
the ^ati++++=the
R ^zz++++=R
program ^nn+++??+=program
( ^zz++++=(4.0.0
4.0.0 ^cd++++=EXTRAWORD
version ^nn++++=version)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
significance ^nn++++=significance
value ^nn++++=value
adopted ^vwbn+++xvbn+=adopted
was ^vbd+bedz+vrb++=was
of ^in++++=of
5 ^zz++++=5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
