Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
six ^cd++++=six
of ^in++++=of
the ^ati++++=the
species ^nns++++=species
recorded ^vbd+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
( ^zz++++=(Allobates
allobates ^nns+++??+=EXTRAWORD
olfersioides ^nns+++??+=olfersioides,
, ^zz++++=EXTRAWORD
Cycloramphus ^np+++??+=Cycloramphus
eleutherodactylus ^nns+++??+=eleutherodactylus,
, ^zz++++=EXTRAWORD
Scinax ^np+++??+=Scinax
trapicheiroi ^nn+++??+=trapicheiroi,
, ^zz++++=EXTRAWORD
Thoropa ^np+++??+=Thoropa
lutzi ^nn+++??+=lutzi,
, ^zz++++=EXTRAWORD
Vitreorana ^np+++??+=Vitreorana
eurygnatha ^nn+++??+=eurygnatha,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
V ^zz++++=V.
. ^zz++++=EXTRAWORD
uranoscopa ^nn+++??+=uranoscopa)
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
listed ^vpsv++agls+xvbnx+=listed
under ^in++++=under
some ^dti++++=some
category ^nn++++=category
of ^in++++=of
extinction ^nn++++=extinction
threat ^nn++++=threat
( ^zz++++=(Bergallo
bergallo ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2000 ^cd++++=2000,
, ^zz++++=EXTRAWORD
Icmbio ^np+++??+=ICMBIO
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
Iucn ^np+++??+=IUCN
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
populations ^nns++++=populations
of ^in++++=of
15 ^cd++++=15
species ^nn++++=species
are ^vb+ber+aux++=are
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
declining ^vbg+++xvbgx+=declining
( ^zz++++=(IUCN
iucn ^nn+++??+=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+dem+++=these
six ^cd++++=six
species ^nn++++=species,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recorded ^vbd+++xvbn+=recorded
only ^rb+down+++=only
one ^pn++++=one,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
trapicheiroi ^nn+++??+=trapicheiroi,
, ^zz++++=EXTRAWORD
during ^in++++=during
our ^pp$+pp1+++=our
field ^nn++++=field
surveys ^nns++++=surveys.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
S ^zz++++=S.
. ^zz++++=EXTRAWORD
trapicheiroi ^nn+++??+=trapicheiroi
is ^vbz+bez+aux++=is
listed ^vpsv++agls+xvbnx+=listed
as ^ql++++=as
Near ^in+pl+++=Near
Threatened ^nn++++=Threatened
by ^in++++=by
the ^ati++++=the
Iucn ^np+++??+=IUCN
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
greatly ^rb+amp+++=greatly
reduced ^jj+atrb++xvbn+=reduced
area ^nn++++=area
of ^in++++=of
occurrence ^nn++++=occurrence
of ^in++++=of
less ^rbr++++=less
than ^in++++=than
20,000 ^cd++++=20,000
km2 ^nn+++??+=km2
( ^zz++++=(Rodrigues
rodrigues ^nns+++??+=EXTRAWORD
& ^zz++++=&
Carvalho ^np+++??+=Carvalho-e-Silva
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
silva ^np++++=EXTRAWORD
2004 ^cd++++=2004),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
the ^ati++++=the
Least ^rbt++++=Least
Concern ^nn++++=Concern
category ^nn++++=category
in ^in++++=in
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
red ^jj+atrb+++=red
list ^nn++++=list
( ^zz++++=(ICMBIO
icmbio ^nn+++??+=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Verdade ^np+++??+=Verdade
and ^cc++++=and
Rodrigues ^np+++??+=Rodrigues
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
allocated ^vprf+++xvbn+=allocated
three ^cd++++=three
other ^ap++++=other
specific ^jj+atrb+++=specific
names ^nns++++=names
for ^in++++=for
geographically ^rb++++=geographically
widespread ^jj+atrb+++=widespread
populations ^nns++++=populations
into ^in++++=into
synonymy ^nn+++??+=synonymy
of ^in++++=of
Allobates ^np+++??+=Allobates
olfersioides ^nns+++??+=olfersioides
( ^zz++++=(Lutz,
lutz ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1925 ^cd+date+++=1925):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
alagoanus ^nns+++??+=alagoanus
( ^zz++++=(Bokermann,
bokermann ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1967 ^cd+date+++=1967),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
capixaba ^nn+++??+=capixaba
( ^zz++++=(Bokermann,
bokermann ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1967 ^cd+date+++=1967),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
A ^at++++=A.
. ^zz++++=EXTRAWORD
carioca ^nn+++??+=carioca
( ^zz++++=(Bokermann,
bokermann ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1967 ^cd+date+++=1967).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
this ^dt+dem+++=this
arrangement ^nn++++=arrangement,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
olfersioides ^nns+++??+=olfersioides
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
distributed ^vpsv++agls+xvbnx+=distributed
along ^in++++=along
much ^ap++++=much
of ^in++++=of
the ^ati++++=the
eastern ^jj+atrb+++=eastern
coast ^nn++++=coast
of ^in++++=of
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
between ^in++++=between
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
and ^cc++++=and
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Alagoas ^np+++??+=Alagoas,
, ^zz++++=EXTRAWORD
2,000 ^cd++++=2,000
km ^nnu++++=km
to ^in++++=to
the ^ati++++=the
north ^np+pl+++=north.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Haddad ^np+++??+=Haddad
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
still ^rb++++=still
considered ^vbd+vprv++xvbn+=considered
these ^dt+dem+++=these
disconnected ^nn+++??+=disconnected
populations ^nns++++=populations
as ^in++++=as
different ^jj+atrb+++=different
species ^nn++++=species:
: ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
olfersioides ^nns+++??+=olfersioides
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
capixaba ^nn+++??+=capixaba
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
A ^at++++=A.
. ^zz++++=EXTRAWORD
alagoanus ^nns+++??+=alagoanus
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Alagoas ^np+++??+=Alagoas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clarification ^nn++++=clarification
of ^in++++=of
whether ^cs+who+++=whether
these ^dt+dem+++=these
populations ^nns++++=populations
are ^vb+ber+vrb++=are
distinct ^jj+atrb+++=distinct
species ^nn++++=species
or ^cc++++=or
lineages ^nns+++??+=lineages
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
species ^nn++++=species
is ^vbz+bez+vrb++=is
essential ^jj+pred+++=essential
( ^zz++++=(Forti
forti ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
assessment ^nn++++=assessment
of ^in++++=of
the ^ati++++=the
conservation ^nn+++??+=conservation
status ^nn++++=status
of ^in++++=of
this ^dt+dem+++=this
amphibian ^nn+++??+=amphibian,
, ^zz++++=EXTRAWORD
Haddad ^np+++??+=Haddad
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
considered ^vbd+vprv++xvbn+=considered
only ^rb+down+++=only
A ^at++++=A.
. ^zz++++=EXTRAWORD
carioca ^nn+++??+=carioca
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
synonym ^nn++++=synonym
of ^in++++=of
A ^at++++=A.
. ^zz++++=EXTRAWORD
olfersioides ^nns+++??+=olfersioides,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
restricted ^vbd+++xvbn+=restricted
the ^ati++++=the
species ^nn++++=species
distribution ^nn++++=distribution
to ^in++++=to
the ^ati++++=the
metropolitan ^jj+atrb+++=metropolitan
region ^nn++++=region
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reduction ^nn++++=reduction
of ^in++++=of
the ^ati++++=the
area ^nn++++=area
of ^in++++=of
occurrence ^nn++++=occurrence
of ^in++++=of
the ^ati++++=the
taxon ^nn+++??+=taxon
to ^in++++=to
approximately ^rb+down+++=approximately
7,730 ^cd++++=7,730
km ^nnu++++=km
, ^zz++++=,
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
records ^nns++++=records
from ^in++++=from
some ^dti++++=some
localities ^nns++++=localities,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
Pnt ^np+++??+=PNT,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
past ^jjb++++=past
30 ^cd++++=30
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
habitat ^nn++++=habitat
quality ^nn++++=quality
over ^in++++=over
this ^dt+dem+++=this
period ^nn++++=period
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
to ^in++++=to
the ^ati++++=the
classification ^nn++++=classification
of ^in++++=of
this ^dt+pdem+++=this
species ^vbz++++=species
as ^ql++++=as
Vulnerable ^jj++++=Vulnerable
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
red ^jj+atrb+++=red
list ^nn++++=list
( ^zz++++=(ICMBIO
icmbio ^nn+++??+=EXTRAWORD
2018 ^cd++++=2018)
) ^zz++++=EXTRAWORD
and ^cc++++=and
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
iucn ^np++++=IUCN
( ^zz++++=(2020).
2020 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
