Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
a ^at++++=a
national ^jj+atrb+++=national
policy ^nn++++=policy
capable ^jj++++=capable
of ^in++++=of
coordinating ^jj+atrb+++=coordinating
states ^nns++++=states
and ^cc++++=and
municipalities ^nns+++??+=municipalities'
' ^zz++++=EXTRAWORD
actions ^nns++++=actions,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
of ^in++++=of
April ^nr++++=April,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
federative ^vb+++??+=federative
units ^nns++++=units
used ^vwbn+++xvbn+=used
their ^pp$+pp3+++=their
endorsed ^vbd+++xvbn+=endorsed
autonomy ^nn++++=autonomy
to ^to++++=to
develop ^vbi++++=develop
structured ^nn+++??+=structured
plans ^nns++++=plans
for ^in++++=for
resuming ^xvbg+++xvbg+=resuming
economic ^jj+atrb+++=economic
activities.(14 ^nn+++??+=activities.(14)
) ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
a ^at++++=a
decentralized ^nn+++??+=decentralized
and ^cc++++=and
disintegrated ^jj+atrb++??+=disintegrated
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
culminating ^vbg+++xvbg+=culminating
in ^in++++=in
the ^ati++++=the
official ^jj+atrb+++=official
publication ^nn++++=publication
of ^in++++=of
plans ^nns++++=plans,
, ^zz++++=EXTRAWORD
decrees ^nns++++=decrees,
, ^zz++++=EXTRAWORD
ordinances ^nns++++=ordinances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
technical ^jj+atrb+++=technical
norms ^nns++++=norms
containing ^vbg+++xvbg+=containing
extremely ^rb+amp+++=extremely
varied ^jj+atrb+++=varied
characteristics ^nns++++=characteristics.
. ^zz++++=EXTRAWORD
