b ^zz++++=b)
) ^zz++++=EXTRAWORD
citations ^nns+++??+=citations
in ^in++++=in
Scielo ^np+++??+=SciELO
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
with ^in++++=with
regard ^nn++++=regard
to ^in++++=to
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
citations ^nns+++??+=citations
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
wos ^np++++=WoS
citation ^nn++++=citation
sources ^nns++++=sources
which ^whp+rel+subj++=which
include ^vb++++=include
scielo ^np++++=SciELO
ci ^np++++=CI.
. ^zz++++=EXTRAWORD
