All ^abn++++=All
in ^in++++=in
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
crisis ^nn++++=crisis
has ^vbz+hvz+aux++=has
rendered ^vprf+++xvbnx+=rendered
more ^rbr++++=more
visible ^jj++++=visible
and ^cc+phrs+++=and
urgent ^jj++++=urgent
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
improve ^vb++++=improve
access ^nn++++=access
to ^in++++=to
higher ^jjr+atrb+++=higher
education ^nn++++=education
for ^in++++=for
socially ^rb++++=socially
disadvantaged ^jj+atrb++??+=disadvantaged
students ^nns++++=students,
, ^zz++++=EXTRAWORD
also ^rb++++=also
with ^in++++=with
a ^at++++=a
view ^nn++++=view
to ^in++++=to
the ^ati++++=the
post ^nn++++=post-pandemic
- ^zz++++=EXTRAWORD
pandemic ^nn+++??+=EXTRAWORD
future ^jjb++++=future.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
view ^nn++++=view
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
task ^nn++++=task
of ^in++++=of
all ^rb++++=all
is ^vbz+bez+vrb++=is
the ^ati++++=the
universalization ^nn+++??+=universalization
of ^in++++=of
higher ^jjr+atrb+++=higher
education ^nn++++=education
by ^in++++=by
law ^nn++++=law,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
already ^rb++++=already
implemented ^vbd+++xvbn+=implemented
for ^in++++=for
primary ^jj++++=primary
and ^cc+phrs+++=and
lower ^jjr+atrb+++=lower
secondary ^jj+atrb+++=secondary
education ^nn++++=education
in ^in++++=in
1996.3 ^cd++++=1996.3
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
that ^tht+jcmp+++=that
public ^jj+atrb+++=public
policies ^nns++++=policies
for ^in++++=for
the ^ati++++=the
financing ^jj+++xvbg+=financing
of ^in++++=of
private ^jj+atrb+++=private
higher ^jjr+atrb+++=higher
education ^nn++++=education
are ^vb+ber+aux++=are
expanded ^vpsv++by+xvbnx+=expanded
by ^in++++=by
the ^ati++++=the
State ^nn++++=State,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
for ^in+ppvb+++=for
lower ^jjr+atrb+++=lower
tuition ^nn++++=tuition
fees ^nns++++=fees
and ^cc++++=and
increased ^jj+atrb+++=increased
accessibility ^nn++++=accessibility
for ^in++++=for
socially ^rb++++=socially
disadvantaged ^jj+atrb+++=disadvantaged
students ^nns++++=students.
. ^zz++++=EXTRAWORD
