Why ^wrb+who+++=Why
do ^vb+do+aux++=do
researchers ^nns+++??+=researchers
choose ^vb++++=choose
to ^to+vcmp+++=to
publish ^vbi++++=publish
in ^in++++=in
Zootaxa ^np+++??+=Zootaxa?
? ^zz++++=EXTRAWORD
Several ^ap++++=Several
reasons ^nns++++=reasons
influence ^vb++++=influence
the ^ati++++=the
preference ^nn++++=preference
of ^in++++=of
a ^at++++=a
researcher ^nn++++=researcher
for ^in++++=for
a ^at++++=a
specific ^jj+atrb+++=specific
journal ^nn++++=journal.
. ^zz++++=EXTRAWORD
Certainly ^rb+cnj+++=Certainly,
, ^zz++++=EXTRAWORD
scope ^nn++++=scope,
, ^zz++++=EXTRAWORD
visibility ^nn++++=visibility,
, ^zz++++=EXTRAWORD
prestige ^nn++++=prestige
in ^in++++=in
the ^ati++++=the
field ^nn++++=field,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jif ^np+++??+=JIF
are ^vb+ber+vrb++=are
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
influential ^jj+atrb+++=influential
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
realistic ^jj+pred+++=realistic
to ^to++++=to
assume ^vbi+vprv+++=assume
that ^tht+vcmp+++=that
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
authors ^nns++++=authors
of ^in++++=of
Zootaxa ^np+++??+=Zootaxa
are ^vb+ber+aux++=are
looking ^vbg+++xvbgx+=looking
for ^in++++=for
a ^at++++=a
journal ^nn++++=journal
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
fast ^rb++++=fast
reviewing ^nvbg+++xvbg+=reviewing
and ^cc++++=and
production ^nn++++=production
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
free ^jj+pred+++=free
of ^in++++=of
charge ^nn++++=charge
to ^in++++=to
authors ^nns++++=authors
( ^zz++++=(no
no ^at++++=EXTRAWORD
Apc ^np+++??+=APC),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
comparatively ^rb++++=comparatively
high ^jj+atrb+++=high
Jif ^np+++??+=JIF,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+vrb++=has
no ^at++++=no
limit ^nn++++=limit
of ^in++++=of
pages ^nns++++=pages
for ^in++++=for
a ^at++++=a
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
Authors ^nns++++=Authors
and ^cc++++=and
readers ^nns++++=readers
of ^in++++=of
the ^ati++++=the
journal ^nn++++=journal
seem ^vb+seem+++=seem
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
concerned ^vpsv++agls+xvbnx+=concerned
about ^in++++=about
the ^ati++++=the
hybrid ^nn++++=hybrid
policy ^nn++++=policy
of ^in++++=of
paywall ^nn+++??+=paywall
for ^in++++=for
accessing ^nn+++??+=accessing
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
published ^jj+atrb++xvbn+=published
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
with ^in++++=with
few ^ap++++=few
published ^jj+atrb++xvbn+=published
articles ^nns++++=articles
having ^vwbg+hvg++xvbg+=having
Goa ^np+++??+=GOA
through ^in++++=through
payment ^nn++++=payment
by ^in++++=by
authors ^nns++++=authors
( ^zz++++=(APC-OA).
apc ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
oa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
reasons ^nns++++=reasons
for ^in++++=for
this ^dt+dem+++=this
complaisance ^nn+++??+=complaisance
are ^vb+ber+vrb++=are
the ^ati++++=the
article ^nn++++=article-processing
- ^zz++++=EXTRAWORD
processing ^nvbg+++xvbg+=EXTRAWORD
charges ^nns++++=charges
for ^in++++=for
most ^ql+emph+++=most
open ^vb++++=open
access ^nn++++=access
journals ^nns++++=journals
with ^in++++=with
values ^nns++++=values
of ^in++++=of
hundreds ^cds++++=hundreds
of ^in++++=of
Euros ^np+++??+=Euros
or ^cc++++=or
Us ^pp1o+pp1+++=US
Dollars ^nns++++=Dollars,
, ^zz++++=EXTRAWORD
generally ^rb+down+++=generally
excessively ^rb++++=excessively
expensive ^jj++++=expensive
for ^in++++=for
researchers ^nns+++??+=researchers
from ^in++++=from
developing ^xvbg+++xvbg+=developing
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
the ^ati++++=the
possible ^jj+atrb+++=possible
economic ^jj+atrb+++=economic
situation ^nn++++=situation
of ^in++++=of
most ^ql+emph+++=most
contributors ^nns++++=contributors
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brazilian ^jj+atrb+++=Brazilian
researchers ^nns+++??+=researchers
are ^vb+ber+vrb++=are
authors ^nns++++=authors
of ^in++++=of
most ^ql+emph+++=most
papers ^nns++++=papers
in ^in++++=in
the ^ati++++=the
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
https ^nns+++??+=https://bit.ly/2Y0hSQ9),
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
open ^jj+atrb+++=open
access ^nn++++=access
is ^vbz+bez+vrb++=is
viable ^jj+pred+++=viable
through ^in++++=through
platforms ^nns++++=platforms
of ^in++++=of
self ^nn++++=self-archiving,
- ^zz++++=EXTRAWORD
archiving ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Researchgate ^np+++??+=ResearchGate,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
websites ^nns+++??+=websites,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Sci ^np+++??+=Sci-Hub;
- ^zz++++=EXTRAWORD
hub ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
