Research ^nn++++=Research
has ^vbz+hvz+aux++=has
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
appropriate ^jj+atrb+++=appropriate
air ^nn++++=air
filtration ^nn++++=filtration
limits ^nns++++=limits
the ^ati++++=the
pass ^vb++++=pass-through
- ^zz++++=EXTRAWORD
through ^in++++=EXTRAWORD
of ^in++++=of
virus ^nn++++=virus
particles ^nns++++=particles,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
frequently ^rb++++=frequently
hitch ^nn++++=hitch
a ^at++++=a
ride ^nn++++=ride
on ^in++++=on
larger ^jjr+atrb+++=larger
particles ^nns++++=particles,
, ^zz++++=EXTRAWORD
into ^in++++=into
downstream ^rb+pl+++=downstream
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
Properly ^rb++++=Properly
installed ^vbd+++xvbn+=installed
higher ^jjr+atrb+++=higher
efficiency ^nn++++=efficiency
filters ^nns+++??+=filters
can ^md+pos+++=can
remove ^vb++++=remove
particles ^nns++++=particles
of ^in++++=of
a ^at++++=a
relevant ^jj+atrb+++=relevant
size ^nn++++=size
depending ^vwbg+++xvbg+=depending
on ^in++++=on
their ^pp$+pp3+++=their
installed ^vbd+++xvbn+=installed
capture ^nn++++=capture
efficiency ^nn++++=efficiency.
. ^zz++++=EXTRAWORD
The ^ati++++=The
National ^jj+atrb+++=National
Air ^nn++++=Air
Filtration ^np+++??+=Filtration
Association ^nn++++=Association
( ^zz++++=(NAFA)
nafa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
described ^vbd+++xvbn+=described
some ^dti++++=some
benefit ^nn++++=benefit
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
reasonably ^rb++splt++=reasonably
inferred ^vpsv++agls+xvbnx+=inferred
for ^in++++=for
appropriately ^rb++++=appropriately
sized ^jj++++=sized
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
removal ^nn++++=removal
rate ^nn++++=rate
is ^vbz+bez+vrb++=is
appropriate ^jj+pred+++=appropriate
for ^in++++=for
the ^ati++++=the
room ^nn++++=room),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
maintained ^j+++xvbn+=maintained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
operated ^vbd+++xvbn+=operated
portable ^jj++++=portable
( ^zz++++=(HEPA)
hepa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
filters ^nns+++??+=filters
[ ^zz++++=[19].
19 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
study ^nn++++=study
conducted ^vwbn+++xvbn+=conducted
by ^in++++=by
the ^ati++++=the
National ^jj+atrb+++=National
Air ^nn++++=Air
Duct ^nn++++=Duct
Cleaners ^np+++??+=Cleaners
Association ^nn++++=Association
( ^zz++++=(NADCA)
nadca ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
recommended ^vbn+vsua++xvbn+=recommended
that ^tht+vcmp+++=that
an ^at++++=an
Hvac ^np+++??+=HVAC
system ^nn++++=system
should ^md+nec+++=should
be ^vb+be+aux++=be
inspected ^vpsv++agls+xvbnx+=inspected
at ^rb++++=at
a ^at++++=a
minimum ^nn++++=minimum,
, ^zz++++=EXTRAWORD
twice ^rb++++=twice
a ^at++++=a
year ^nn++++=year
[ ^zz++++=[20].
20 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
