Another ^dt++++=Another
aspect ^nn++++=aspect
worth ^in++++=worth
considering ^xvbg+++xvbg+=considering
is ^vbz+bez+vrb++=is
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
the ^ati++++=the
proboscis ^nns+++??+=proboscis
of ^in++++=of
triatomines ^nns+++??+=triatomines
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
different ^jj++++=different
from ^in++++=from
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
reduviids ^nns+++??+=reduviids
( ^zz++++=(Lent
lent ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
Wygodzinsky ^np+++??+=Wygodzinsky
1979 ^cd+date+++=1979).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Reduviids ^np+++??+=Reduviids
have ^vb+hv+vrb++=have
a ^at++++=a
hookshaped ^nn+++??+=hookshaped
proboscis ^nns+++??+=proboscis
that ^tht+rel+++=that
when ^wrb+who+++=when
extended ^vbd+++xvbn+=extended
points ^nns++++=points
downwards ^rb++++=downwards.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
triatomine ^nn+++??+=triatomine
proboscis ^nns+++??+=proboscis
is ^vbz+bez+vrb++=is
straight ^jj+pred+++=straight
and ^cc++++=and
possesses ^vbz++++=possesses
a ^at++++=a
membranous ^nns+++??+=membranous
joints ^nns++++=joints,
, ^zz++++=EXTRAWORD
a ^at++++=a
treat ^nn++++=treat
used ^vwbn+++xvbn+=used
by ^in++++=by
Lent ^vbd+++xvbn+=Lent
and ^cc++++=and
Wygodzinsky ^np+++??+=Wygodzinsky
( ^zz++++=(1979)
1979 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
distinguish ^vbi++++=distinguish
the ^ati++++=the
Triatominae ^np+++??+=Triatominae
from ^in++++=from
other ^ap++++=other
reduviid ^nn+++??+=reduviid
subfamilies ^nns+++??+=subfamilies.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
morphological ^jj+atrb+++=morphological
feature ^nn++++=feature
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
hematophagous ^nns+++??+=hematophagous
and ^cc++++=and
kleptophagous ^nns+++??+=kleptophagous
habit ^nn++++=habit
that ^tht+rel+subj++=that
distinguish ^vb++++=distinguish
triatomines ^nns+++??+=triatomines.
. ^zz++++=EXTRAWORD
Belminus ^np+++??+=Belminus
bugs ^vbz+++??+=bugs
used ^vbd+++xvbn+=used
such ^abl++++=such
proboscis ^nns+++??+=proboscis
flexibility ^nn++++=flexibility
to ^to++++=to
pierce ^vbi++++=pierce
the ^ati++++=the
cockroach ^nn++++=cockroach
from ^in++++=from
below ^in+pl+++=below
in ^in++++=in
arena ^nn++++=arena
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
The ^ati++++=The
proboscis ^nns+++??+=proboscis
behavior ^nn++++=behavior
performed ^vwbn+++xvbn+=performed
by ^in++++=by
Belminus ^np+++??+=Belminus
and ^cc++++=and
all ^abn++++=all
triatomines ^nns+++??+=triatomines
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
possible ^jj++++=possible
within ^in++++=within
predator ^nn++++=predator
reduviids ^nns+++??+=reduviids
which ^whp+rel+subj++=which
have ^vb+hv+vrb++=have
a ^at++++=a
hook ^nn++++=hook-shaped
- ^zz++++=EXTRAWORD
