Clinical ^jj+atrb+++=Clinical
trials ^nns++++=trials
on ^in++++=on
vitamin ^nn++++=vitamin
D ^zz++++=D
supplementation ^nn+++??+=supplementation
that ^tht+rel+subj++=that
assessed ^vprf+++xvbn+=assessed
the ^ati++++=the
prevention ^nn++++=prevention
of ^in++++=of
respiratory ^jj+atrb+++=respiratory
infections ^nns++++=infections
and ^cc++++=and/or
the ^ati++++=the
severity ^nn++++=severity
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
indicated ^vbd+vprv++xvbn+=indicated
heterogeneous ^jj+atrb+++=heterogeneous
results ^nns++++=results
[ ^zz++++=[40-44],
40 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
44 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
the ^ati++++=the
varying ^jj+atrb++xvbg+=varying
doses ^nns++++=doses
of ^in++++=of
vitamin ^nn++++=vitamin
D ^zz++++=D
( ^zz++++=(400
400 ^cd++++=EXTRAWORD
to ^to++++=to
100.000 ^cd++++=100.000
Iu ^np+++??+=IU
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
week ^nn++++=week
and ^cc++++=and/or
single ^jj+atrb+++=single
dose ^nn++++=dose),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
protocol ^nn++++=protocol
duration ^nn++++=duration
( ^zz++++=(5
5 ^zz++++=EXTRAWORD
days ^nns++++=days
to ^to++++=to
8 ^zz++++=8
months ^nns++++=months).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
a ^at++++=a
meta ^nn+++??+=meta-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
including ^in++++=including
25 ^cd++++=25
randomized ^vb+++??+=randomized
controlled ^vbd+++xvbn+=controlled
trials ^nns++++=trials
and ^cc++++=and
totaling ^nn+++??+=totaling
10,933 ^cd++++=10,933
participants ^nns++++=participants
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
protective ^jj+atrb+++=protective
effect ^nn++++=effect
of ^in++++=of
vitamin ^nn++++=vitamin
d ^zz++++=D
supplementation ^nn++++=supplementation
against ^in++++=against
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
tract ^nn++++=tract
infection ^nn++++=infection
[ ^zz++++=[45].
45 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
