Short ^jj++++=Short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
harm ^nn++++=harm
to ^in++++=to
students ^nns++++=students
health ^nn++++=health
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
missed ^vprf+++xvbn+=missed
meals ^nns++++=meals
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic
may ^md+pos+++=may
include ^vb++++=include
fatigue ^nn++++=fatigue
and ^cc++++=and
a ^at++++=a
reduced ^jj+atrb++xvbn+=reduced
immune ^jj+atrb+++=immune
response ^nn++++=response,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
makes ^vbz++++=makes
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
more ^rbr++++=more
vulnerable ^jj++++=vulnerable
to ^to++++=to
contracting ^vbg+++xvbg+=contracting
infectious ^nns+++??+=infectious
agents ^nns++++=agents
such ^abl++++=such
as ^ql++++=as
viruses ^nns++++=viruses,
, ^zz++++=EXTRAWORD
bacteria ^nns++++=bacteria,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently
to ^to++++=to
developing ^vbi++++=developing
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
worsen ^vb++++=worsen
their ^pp$+pp3+++=their
condition ^nn++++=condition
because ^cs+cos+++=because
of ^in++++=of
a ^at++++=a
deficient ^jj+atrb+++=deficient
immune ^jj+atrb+++=immune
response ^nn++++=response.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
long ^jj+atrb+++=long
term ^nn++++=term,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
harm ^nn++++=harm
can ^md+pos+++=can
affect ^vb++++=affect
psychological ^jj++++=psychological,
, ^zz++++=EXTRAWORD
physical ^jj++++=physical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emotional ^jj+atrb+++=emotional
development ^nn++++=development
[ ^zz++++=[19].
19 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
