Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
a ^at++++=a
time ^nn++++=time
series ^nn++++=series
of ^in++++=of
deaths ^nns++++=deaths
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
Covid ^vb+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
referenced ^nn+++??+=referenced
to ^in++++=to
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
the ^ati++++=the
event ^nn++++=event
allows ^vbz++++=allows
a ^at++++=a
better ^jjr++++=better
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
the ^ati++++=the
Sds ^np+++??+=SDS
on ^in++++=on
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
epidemic ^nn++++=epidemic
in ^in++++=in
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo
state ^nn++++=State,
, ^zz++++=EXTRAWORD
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
