Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
satisfactory ^jj+atrb+++=satisfactory
antimicrobial ^nn+++??+=antimicrobial
activity ^nn++++=activity
found ^vbd+vprv++xvbn+=found
against ^in++++=against
bacteria ^nns++++=bacteria
involved ^vbd+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
colonization ^nn++++=colonization
of ^in++++=of
the ^ati++++=the
tooth ^nn++++=tooth
surface ^nn++++=surface
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
caries ^nn++++=caries,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
the ^ati++++=the
low ^jj+atrb+++=low
cytotoxicity ^nn+++??+=cytotoxicity
and ^cc++++=and
high ^jj+atrb+++=high
selectivity ^nn+++??+=selectivity,
, ^zz++++=EXTRAWORD
all ^abn++++=all
samples ^nns++++=samples
of ^in++++=of
the ^ati++++=the
Ee ^np+++??+=EE
of ^in++++=of
the ^ati++++=the
bark ^nn++++=bark
from ^in++++=from
Schinopsis ^np+++??+=Schinopsis
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
potential ^jj+atrb+++=potential
ingredients ^nns++++=ingredients
that ^tht+rel+subj++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
used ^vbd+++xvbn+=used
in ^in++++=in
dental ^jj+atrb+++=dental
formulations ^nns++++=formulations
to ^in++++=to
control ^nn++++=control
oral ^jj+atrb+++=oral
biofilm ^nn++++=biofilm.
. ^zz++++=EXTRAWORD
