We ^pp1a+pp1+++=We
will ^md+prd+++=will
use ^vb++++=use
the ^ati++++=the
terms ^nns++++=terms
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
problem ^nn++++=problem
of ^in++++=of
interest ^nn++++=interest
and ^cc++++=and
the ^ati++++=the
filter ^nn++++=filter
for ^in++++=for
randomized ^nn+++??+=randomized
studies ^nns++++=studies
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Haynes ^np++++=Haynes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(8).
8 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
search ^nn++++=search
strategy ^nn++++=strategy
in ^in++++=in
medline ^np++++=MEDLINE
via ^in++++=via
pubmed ^np++++=Pubmed
is ^vbz+bez+aux++=is
shown ^vprf+++xvbn+=shown
in ^in++++=in
table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
