This ^dt+dem+++=This
rapid ^jj+atrb+++=rapid
living ^jj+atrb++xvbg+=living
review ^nn++++=review
will ^md+prd+++=will
systematically ^rb++splt++=systematically
evaluate ^vb++++=evaluate
the ^ati++++=the
best ^jjt+atrb+++=best
available ^jj+atrb+++=available
evidence ^nn++++=evidence
on ^in++++=on
the ^ati++++=the
pharmacological ^jj+atrb+++=pharmacological
treatment ^nn++++=treatment
of ^in++++=of
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
expect ^vb+vprv+++=expect
will ^md+prd+++=will
help ^vb++++=help
the ^ati++++=the
front ^jjb+atrb+++=front
line ^nn++++=line
on ^in++++=on
their ^pp$+pp3+++=their
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
processes ^nns++++=processes.
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
evidence ^nn++++=evidence
from ^in++++=from
Rct ^np+++??+=RCT
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
shown ^vprf+++xvbnx+=shown
potential ^jj+atrb+++=potential
improvements ^nns++++=improvements
in ^in++++=in
outcomes ^nns+++??+=outcomes
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
confirmed ^vbn+vpub++xvbn+=confirmed
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^in++++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
drug ^nn++++=drug
with ^in++++=with
proven ^jj+atrb++xvbn+=proven
efficacy ^nn++++=efficacy
or ^cc++++=or
approval ^nn++++=approval
by ^in++++=by
drug ^nn++++=drug
regulatory ^nn+++??+=regulatory
agencies ^nns++++=agencies
for ^in++++=for
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
to ^in++++=to
date ^nn++++=date,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
almost ^rb+hdg+++=almost
two ^cd++++=two
thousand ^cd++++=thousand
ongoing ^nn+++??+=ongoing
trials ^nns++++=trials
on ^in++++=on
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
registered ^vbd+++xvbn+=registered
in ^in++++=in
Who ^whp+rel+pied++=WHO
Ictrp ^np+++??+=ICTRP.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
different ^jj+atrb+++=different
therapeutic ^jj+atrb+++=therapeutic
classes ^nns++++=classes
emerge ^vb++++=emerge
as ^in++++=as
possible ^jj+atrb+++=possible
treatments ^nns++++=treatments
against ^in++++=against
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
drug ^nn++++=drug-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
information ^nn++++=information,
, ^zz++++=EXTRAWORD
time ^nn++++=time
to ^in++++=to
clinical ^jj+atrb+++=clinical
improvement ^nn++++=improvement,
, ^zz++++=EXTRAWORD
adverse ^jj+atrb+++=adverse
events ^nns++++=events
and ^cc++++=and
mortality ^nn++++=mortality
rate ^nn++++=rate
are ^vb+ber+aux++=are
still ^rb++splt++=still
challenging ^vbg+++xvbgx+=challenging.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
an ^at++++=an
urgent ^jj+atrb+++=urgent
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
find ^vb+vprv+++=find
reliable ^jj+atrb+++=reliable
evidence ^nn++++=evidence
on ^in++++=on
which ^whp+rel+pied++=which
pharmacological ^jj+atrb+++=pharmacological
treatment ^nn++++=treatment
is ^vbz+bez+vrb++=is
more ^rbr++++=more
effective ^jj+pred+++=effective
and ^cc+phrs+++=and
safer ^jjr++++=safer
for ^in++++=for
treating ^xvbg+++xvbg+=treating
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
To ^to++++=To
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
quality ^nn++++=quality
of ^in++++=of
the ^ati++++=the
results ^nns++++=results,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
follow ^vb+vprv+++=follow
the ^ati++++=the
Cochrane ^np+++??+=Cochrane
Handbook ^np+++??+=Handbook
of ^in++++=of
Systematic ^jj+atrb+++=Systematic
Reviews ^nns++++=Reviews
recommendations ^nns++++=recommendations
( ^zz++++=(10).
10 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
believe ^vb+vprv+++=believe
this ^dt+dem+++=this
rapid ^jj+atrb+++=rapid
systematic ^jj+atrb+++=systematic
review ^nn++++=review
with ^in++++=with
network ^nn++++=network
meta ^nn+++??+=meta-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
and ^cc++++=and
extensive ^jj+atrb+++=extensive
searches ^nns++++=searches
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
summarize ^vb++++=summarize
the ^ati++++=the
current ^jj+atrb+++=current
available ^jj+atrb+++=available
evidence ^nn++++=evidence
on ^in++++=on
pharmacological ^jj+atrb+++=pharmacological
treatments ^nns++++=treatments
and ^cc++++=and
to ^to++++=to
provide ^vbi+vsua+++=provide
important ^jj+atrb+++=important
information ^nn++++=information
for ^in++++=for
clinical ^jj+atrb+++=clinical
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
on ^in++++=on
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
that ^dt+pdem+++=that
has ^vbz+hvz+aux++=has
recently ^rb+tm+splt++=recently
emerged ^vbd+++xvbn+=emerged
and ^cc+phrs+++=and
caused ^vbd+++xvbn+=caused
a ^at++++=a
deadly ^rb++++=deadly
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
