It ^pp3+it+++=It
is ^vbz+bez+aux++=is
suggested ^vpsv++agls+xvbnx+=suggested
as ^ql++++=as
an ^at++++=an
option ^nn++++=option
to ^to++++=to
washing ^vbg+++xvbg+=washing
the ^ati++++=the
pacifiers ^nns+++??+=pacifiers
daily ^jj++++=daily
with ^in++++=with
running ^xvbg+++xvbg+=running
water ^nn++++=water
and ^cc++++=and
neutral ^jj+atrb+++=neutral
detergent ^nn++++=detergent,
, ^zz++++=EXTRAWORD
with ^in++++=with
vigorous ^jj+atrb+++=vigorous
mechanical ^jj+atrb+++=mechanical
action ^nn++++=action
for ^in++++=for
at ^in++++=at
least ^ql++++=least
5 ^zz++++=5
minutes ^nns++++=minutes
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Positive ^jj+atrb+++=Positive
results ^nns++++=results
were ^vbd+bed+aux++=were
also ^rb++splt++=also
found ^vpsv++by+xvbnx+=found
by ^in++++=by
previous ^jj+atrb+++=previous
authors ^nns++++=authors
when ^wrb+who+++=when
using ^vbg+++xvbg+=using
the ^ati++++=the
product ^nn++++=product,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
this ^dt+dem+++=this
protocol ^nn++++=protocol
[ ^zz++++=[25].
25 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
the ^ati++++=the
object ^nn++++=object
can ^md+pos+++=can
be ^vb+be+aux++=be
rested ^vpsv++agls+xvbnx+=rested
in ^in++++=in
a ^at++++=a
container ^nn++++=container
with ^in++++=with
2.5 ^cd++++=2.5%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
for ^in++++=for
5 ^zz++++=5
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
agent ^nn++++=agent
was ^vbd+bedz+vrb++=was
effective ^jj+pred+++=effective
in ^in++++=in
total ^jj+atrb+++=total
disinfection ^nn+++??+=disinfection
of ^in++++=of
pacifiers ^nns+++??+=pacifiers
[ ^zz++++=[8],
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
in ^in++++=in
toothbrushes ^nns++++=toothbrushes
[ ^zz++++=[26].
26 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
