Brushtox ^np+++??+=Brushtox
is ^vbz+bez+vrb++=is
a ^at++++=a
solution ^nn++++=solution
of ^in++++=of
activated ^nn+++??+=activated
ethanol ^nn+++??+=ethanol
( ^zz++++=(40%
40 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
v ^zz++++=v/v)
and ^cc++++=and
a ^at++++=a
biocide ^nn+++??+=biocide
( ^zz++++=(parabens)
parabens ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
consider ^vb+vprv+++=consider
an ^at++++=an
effective ^jj++++=effective
disinfectant ^jj++++=disinfectant
for ^in++++=for
toothbrush ^nn+++??+=toothbrush
bacteria ^nns++++=bacteria
and ^cc++++=and
fungi ^nns++++=fungi
decontamination ^nn++++=decontamination
[ ^zz++++=[23].
23 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
pacifier ^nn+++??+=pacifier
decontamination ^nn++++=decontamination,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
efficiency ^nn++++=efficiency
is ^vbz+bez+vrb++=is
controversial ^jj+pred+++=controversial,
, ^zz++++=EXTRAWORD
with ^in++++=with
positive ^jj++++=positive
[ ^zz++++=[11]
11 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
negative ^jj+atrb+++=negative
results ^nns++++=results
already ^rb++++=already
described ^vbd+++xvbn+=described
[ ^zz++++=[10].
10 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
evaluate ^vbi++++=evaluate
its ^pp$+it+++=its
cost ^nn++++=cost,
, ^zz++++=EXTRAWORD
accessibility ^nn++++=accessibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disadvantages ^nns++++=disadvantages
that ^tht+rel+obj++=that
may ^md+pos+++=may
limit ^vb++++=limit
the ^ati++++=the
widespread ^jj+atrb+++=widespread
use ^nn++++=use
by ^in++++=by
the ^ati++++=the
population ^nn++++=population
[ ^zz++++=[27].
27 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
