Digestive ^np+++??+=Digestive
symptoms ^nns++++=symptoms
are ^vb+ber+aux++=are
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
nearly ^rb+down+++=nearly
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Diarrhea ^np+++??+=Diarrhea
and ^cc++++=and
fever ^nn++++=fever
may ^md+pos+++=may
be ^vb+be+aux++=be
present ^vb++++=present
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
respiratory ^jj+atrb+++=respiratory
symptoms ^nns++++=symptoms
( ^zz++++=(6).
6 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
Rna ^np+++??+=RNA
was ^vbd+bedz+aux++=was
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
stool ^nn++++=stool
samples ^nns++++=samples
and ^cc++++=and
other ^ap++++=other
clinical ^jj+atrb+++=clinical
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
awareness ^nn++++=awareness
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
regarding ^in++++=regarding
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
pre ^nn+++??+=pre-existing
- ^zz++++=EXTRAWORD
existing ^vbg+++xvbg+=EXTRAWORD
digestive ^nn+++??+=digestive
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
( ^zz++++=(IBD).
ibd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Special ^jj+atrb+++=Special
attention ^nn++++=attention
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
potential ^jj+atrb+++=potential
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
transmission ^nn++++=transmission
via ^in++++=via
a ^at++++=a
fecal ^nn+++??+=fecal
route ^nn++++=route
( ^zz++++=(7,8).
7,8 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
viral ^nn+++??+=viral
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
virus ^nn++++=virus-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
Rna ^np+++??+=RNA
and ^cc++++=and
proteins ^nns+++??+=proteins
are ^vb+ber+vrb++=are
synthesized ^nn+++??+=synthesized
in ^in++++=in
the ^ati++++=the
cytoplasm ^nn+++??+=cytoplasm
to ^to++++=to
assemble ^vbi++++=assemble
new ^jj+atrb+++=new
virions ^nns+++??+=virions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
detection ^nn++++=detection
of ^in++++=of
viral ^nn+++??+=viral
Rna ^np+++??+=RNA
from ^in++++=from
feces ^nns+++??+=feces
1 ^zz++++=1
to ^to++++=to
12 ^cd++++=12
days ^nns++++=days
after ^cs+sub+++=after
being ^xvbg+++xvbg+=being
negative ^jj++++=negative
in ^in++++=in
respiratory ^jj+atrb+++=respiratory
samples ^nns++++=samples
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
viruses ^nns++++=viruses
are ^vb+ber+vrb++=are
continuously ^rb++++=continuously
secreted ^nn+++??+=secreted
from ^in++++=from
infected ^vbd+++xvbn+=infected
gastrointestinal ^nn+++??+=gastrointestinal
cells ^nns++++=cells
( ^zz++++=(9).
9 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
period ^nn++++=period
of ^in++++=of
viral ^nn+++??+=viral
secretion ^nn+++??+=secretion
from ^in++++=from
pediatric ^nn+++??+=pediatric
feces ^nns+++??+=feces
is ^vbz+bez+vrb++=is
longer ^rbr++++=longer
than ^cs+sub+++=than
in ^in++++=in
adults ^nns++++=adults
( ^zz++++=(10).
10 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
observations ^nns++++=observations
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
inflamed ^nn++++=inflamed
gut ^vb++++=gut
of ^in++++=of
adults ^nns++++=adults
and ^cc++++=and
children ^nns++++=children
with ^in++++=with
Ibd ^np+++??+=IBD
could ^md+pos+++=could
be ^vb+be+vrb++=be
more ^rbr++++=more
susceptible ^jj+pred+++=susceptible
to ^in++++=to
infection ^nn++++=infection
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
doorway ^nn++++=doorway
for ^in++++=for
the ^ati++++=the
virus ^nn++++=virus
( ^zz++++=(11,12).
11,12 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
