With ^in++++=With
numerous ^jj+atrb+++=numerous
different ^jj+atrb+++=different
vaccines ^nns++++=vaccines
now ^rn+tm+++=now
being ^xvbg+++xvbg+=being
produced ^vbd+++xvbn+=produced
and ^cc++++=and
the ^ati++++=the
success ^nns+nom+++=success
of ^in++++=of
the ^ati++++=the
Covax ^np+++??+=COVAX
scheme ^nn++++=scheme
increasing ^vwbg+++xvbg+=increasing
vaccine ^nn++++=vaccine
availability ^nn+nom+++=availability
, ^zz++++=,
limitations ^nns+nom+++=limitations
surrounding ^vwbg+++xvbg+=surrounding
delivery ^nn+nom+++=delivery
and ^cc++++=and
uptake ^nn++++=uptake
are ^vb+ber+aux++=are
becoming ^vbg+++xvbgx+=becoming
increasingly ^rb++++=increasingly
important ^jj++++=important
. ^zz++++=.
In ^in++++=In
our ^pp$+pp1+++=our
model ^nn++++=model,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
unsurprising ^vbg+++xvbgx+=unsurprising
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
vaccine ^nn++++=vaccine
uptake ^nn++++=uptake
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
increased ^vbd+++xvbn+=increased
supplies ^nns++++=supplies
was ^vbd+bedz+vrb++=was
lower ^jjr+pred+++=lower
than ^in++++=than
presented ^vbd+++xvbn+=presented,
, ^zz++++=EXTRAWORD
the ^ati++++=the
benefits ^nns++++=benefits
of ^in++++=of
sharing ^xvbg+++xvbg+=sharing
would ^md+prd+++=would
be ^vb+be+aux++=be
comparatively ^rb++splt++=comparatively
reduced ^vpsv++agls+xvbnx+=reduced.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
lower ^jjr++++=lower-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
lack ^vb++++=lack
the ^ati++++=the
infrastructure ^nn++++=infrastructure
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
rapidly ^rb++splt++=rapidly
deliver ^vbi++++=deliver
vaccines ^nns++++=vaccines
on ^in++++=on
the ^ati++++=the
scale ^nn++++=scale
required ^vbd+++xvbn+=required,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
where ^wrb+who+++=where
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
large ^jj+pred+++=large,
, ^zz++++=EXTRAWORD
hard ^jj++++=hard-to-reach
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
reach ^vb++++=EXTRAWORD
population ^nn+nom+++=population
sectors ^nns++++=sectors.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
vaccine ^nn++++=vaccine
hesitancy ^nn++++=hesitancy
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
recognized ^jj+atrb++xvbn+=recognized
problem ^nn++++=problem
in ^in++++=in
all ^abn++++=all
nations ^nns+nom+++=nations,
, ^zz++++=EXTRAWORD
in ^in++++=in
countries ^nns++++=countries
where ^wrb+who+++=where
public ^jj+atrb+++=public
health ^nn++++=health
messaging ^vwbg+++xvbg+=messaging
and ^cc++++=and
education ^nn+nom+++=education
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited,
, ^zz++++=EXTRAWORD
hesitancy ^nn++++=hesitancy
is ^vbz+bez+aux++=is
becoming ^vbg+++xvbgx+=becoming
a ^at++++=a
severe ^jj+atrb+++=severe
limiting ^jj+atrb++xvbg+=limiting
factor ^nn++++=factor
for ^in++++=for
increased ^jj+atrb++xvbn+=increased
vaccine ^nn++++=vaccine
coverage ^nn+nom+++=coverage
. ^zz++++=.
Future ^jjb+atrb+++=Future
support ^nn++++=support
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
include ^vb++++=include
assistance ^nn+nom+++=assistance
with ^in++++=with
vaccine ^nn++++=vaccine
delivery ^nn+nom+++=delivery
and ^cc++++=and
logistical ^jj+atrb+++=logistical
support ^nn++++=support
in ^in++++=in
addition ^nn+nom+++=addition
to ^in++++=to
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
vaccine ^nn++++=vaccine
doses ^nns++++=doses.
. ^zz++++=EXTRAWORD
