Given ^vbd+++xvbn+=Given
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
an ^at++++=an
adequate ^jj+atrb+++=adequate
comparison ^nn++++=comparison
for ^in++++=for
efficacy ^nn+nom+++=efficacy
and ^cc++++=and
safety ^nn++++=safety
between ^in++++=between
tisa ^nn+++??+=tisa-cel
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
and ^cc++++=and
axi ^nn+++??+=axi-cel,
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
embarked ^vbd+++xvbn+=embarked
on ^in+ppvb+++=on
an ^at++++=an
Ipd ^np+++??+=IPD-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
matched ^vbd+++xvbn+=matched
comparison ^nn++++=comparison
considering ^vwbg+++xvbg+=considering
all ^abn++++=all
French ^jj+atrb+++=French
patients ^nns++++=patients
with ^in++++=with
Dlbcl ^np+++??+=DLBCL
treated ^vwbn+++xvbn+=treated
with ^in++++=with
commercial ^jj+atrb+++=commercial
Car ^nn++++=CAR
T ^zz++++=T
And ^cc++++=and
Included ^vbd+++xvbn+=included
In ^in++++=in
The ^ati++++=the
Descar ^np++++=DESCAR-T
 ^zz++++=EXTRAWORD
T ^zz++++=EXTRAWORD
Registry ^nn++++=registry.
 ^zz++++=EXTRAWORD
