No ^at++++=No
data ^nns++++=data
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
the ^ati++++=the
analyses ^nns++++=analyses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trial ^nn++++=trial
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
randomized ^jj+++xvbn+=randomized.
. ^zz++++=EXTRAWORD
The ^ati++++=The
investigators ^nns++++=investigators
were ^vbd+bed+aux++=were
not ^xnot++not++=not
blinded ^vpsv++agls+xvbn+=blinded
to ^in++++=to
allocation ^nn+nom+++=allocation
during ^in++++=during
experiments ^nns+nom+++=experiments
and ^cc++++=and
outcome ^nn++++=outcome
assessment ^nn+nom+++=assessment.
. ^zz++++=EXTRAWORD
