Although ^cs+con+++=Although
this ^dt+dem+++=this
study ^nn++++=study
aggregated ^vbd+++xvbn+=aggregated
evidence ^nn+nom+++=evidence
from ^in++++=from
many ^ap++++=many
isolated ^jj+atrb++xvbn+=isolated
case ^nn++++=case
reports ^nns++++=reports,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
sample ^nn++++=sample
size ^nn++++=size
is ^vbz+bez+vrb++=is
still ^rb++++=still
quite ^rb++++=quite
small ^jj++++=small
and ^cc++++=and
may ^md+pos+++=may
also ^rb++splt++=also
suffer ^vb++++=suffer
from ^in++++=from
biases ^nns+++??+=biases,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
imbalanced ^jj+atrb++xvbn+=imbalanced
age ^nn++++=age
and ^cc++++=and
sex ^nn++++=sex
structure ^nn++++=structure
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
and ^cc++++=and
the ^ati++++=the
wide ^jj+atrb+++=wide
variety ^nn++++=variety
of ^in++++=of
background ^nn++++=background
conditions ^nns+nom+++=conditions
and ^cc++++=and
treatments ^nns+nom+++=treatments
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
some ^dti++++=some
studies ^nns++++=studies
selected ^vwbn+++xvbn+=selected
patients ^nns++++=patients
with ^in++++=with
particular ^jj+atrb+++=particular
characteristics ^nns++++=characteristics
( ^zz++++=(for
for ^in++++=EXTRAWORD
example ^nn++++=example,
, ^zz++++=EXTRAWORD
ref ^nn++++=ref.
. ^zz++++=EXTRAWORD
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
different ^jj+atrb+++=different
sequencing ^jj+atrb++xvbg+=sequencing
strategies ^nns+++??+=strategies
and ^cc++++=and
bioinformatics ^nns++++=bioinformatics
approaches ^nns++++=approaches
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
generate ^nn+nom+++=generate
the ^ati++++=the
data ^nns++++=data,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
batch ^nn++++=batch
effects ^nns++++=effects
( ^zz++++=(
Methods ^np++++=Methods
and ^cc++++=and
Supplementary ^jj+atrb+++=Supplementary
Table ^nn++++=Table
