Subgroup ^np+++??+=Subgroup
analyses ^nns++++=analyses
for ^in++++=for
the ^ati++++=the
primary ^jj+atrb+++=primary
outcome ^nn++++=outcome
of ^in++++=of
Mace ^np+++??+=MACE-4
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
by ^in++++=by
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
baseline ^nn+++??+=baseline
Hba1c ^np+++??+=HbA1c,
, ^zz++++=EXTRAWORD
race ^nn++++=race,
, ^zz++++=EXTRAWORD
Us ^pp1o+pp1+++=US
or ^cc++++=or
non ^&fw++++=non-US
- ^zz++++=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
clinical ^jj+atrb+++=clinical
sites ^nns++++=sites
and ^cc++++=and
baseline ^jj+atrb++??+=baseline
sodium ^nn++++=sodium
glucose ^nn++++=glucose
co ^nn++++=co-transporter
- ^zz++++=EXTRAWORD
transporter ^jjr++++=EXTRAWORD
2 ^zz++++=2
inhibitor ^nn++++=inhibitor
( ^zz++++=(SGLT-2i)
sglt ^jj+++xvbn+=EXTRAWORD
- ^zz++++=EXTRAWORD
2i ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
use ^vb++++=use
demonstrated ^vbd+vprv++xvbn+=demonstrated
no ^at++++=no
significant ^jj+atrb+++=significant
effect ^nn++++=effect
modification ^nn+nom+++=modification
( ^zz++++=(all
all ^abn++++=EXTRAWORD
P ^zz++++=P
interaction ^nn+nom+++=interaction
> ^zz++++=>
0.1 ^nn++++=0.1)
) ^zz++++=EXTRAWORD
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
5 ^zz++++=5
) ^zz++++=).
. ^zz++++=EXTRAWORD
