Inflamed ^jj+atrb+++=Inflamed
tissue ^nn++++=tissue
from ^in++++=from
patients ^nns++++=patients
with ^in++++=with
Ibd ^np+++??+=IBD
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
resected ^vpsv++agls+xvbnx+=resected
when ^wrb+who+++=when
either ^dtx++++=either
medical ^jj+atrb+++=medical
therapies ^nns+++??+=therapies
have ^vb+hv+aux++=have
failed ^vprf+++xvbnx+=failed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
patients ^nns++++=patients
opt ^vb++++=opt
for ^in++++=for
elective ^jj+atrb+++=elective
surgery ^nn+nom+++=surgery
or ^cc+cls+++=or
when ^wrb+who+++=when
acute ^jj+atrb+++=acute
complications ^nns+nom+++=complications
require ^vb+vsua+++=require
emergency ^nn++++=emergency
surgery ^nn+nom+++=surgery.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
such ^abl++++=such
tissues ^nns++++=tissues
( ^zz++++=(referred
referred ^vbd+++xvbn+=EXTRAWORD
to ^in++++=to
as ^ql++++=as
difficult ^jj++++=difficult-to-treat
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
treat ^vb++++=EXTRAWORD
Ibd ^np+++??+=IBD)
) ^zz++++=EXTRAWORD
as ^ql++++=as
our ^pp$+pp1+++=our
discovery ^nn+nom+++=discovery
cohort ^nn++++=cohort
( ^zz++++=(Extended
extended ^vbd+++xvbn+=EXTRAWORD
Data ^nns++++=Data
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
Amongst ^in++++=Amongst
Ibd ^np+++??+=IBD
tissue ^nn++++=tissue
samples ^nns++++=samples
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
41 ^cd++++=41)
) ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
31 ^cd++++=31
patients ^nns++++=patients
in ^in++++=in
this ^dt+dem+++=this
cohort ^nn++++=cohort,
, ^zz++++=EXTRAWORD
15 ^cd++++=15
were ^vbd+bed+aux++=were
macroscopically ^rb++splt++=macroscopically
uninflamed ^vpsv++agls+xvbnx+=uninflamed,
, ^zz++++=EXTRAWORD
including ^in++++=including
seven ^cd++++=seven
samples ^nns++++=samples
for ^in++++=for
which ^whp+rel+pied++=which
paired ^vbd+++xvbn+=paired
uninflamed ^jj+atrb++xvbn+=uninflamed/inflamed
tissue ^nn++++=tissue
was ^vbd+bedz+vrb++=was
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
additionally ^rb++++=additionally
profiled ^jj+++xvbn+=profiled
unaffected ^jj++++=unaffected,
, ^zz++++=EXTRAWORD
nontumour ^nn+++??+=nontumour
tissue ^nn++++=tissue
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
39 ^cd++++=39)
) ^zz++++=EXTRAWORD
collected ^vbd+++xvbn+=collected
from ^in++++=from
39 ^cd++++=39
patients ^nns++++=patients
with ^in++++=with
colorectal ^jj+atrb+++=colorectal
cancer ^nn++++=cancer
( ^zz++++=(CRC)
crc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
undergoing ^vbg+++xvbg+=undergoing
surgery ^nn+nom+++=surgery
as ^ql++++=as
non ^&fw++++=non-IBD
- ^zz++++=EXTRAWORD
ibd ^nn+++??+=EXTRAWORD
controls ^vbz++++=controls.
. ^zz++++=EXTRAWORD
Bulk ^nn++++=Bulk
Rna ^np+++??+=RNA-sequencing
- ^zz++++=EXTRAWORD
sequencing ^jj+++xvbg+=EXTRAWORD
( ^zz++++=(RNA-seq)
rna ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
generate ^nn+nom+++=generate
whole ^jj++++=whole-tissue
- ^zz++++=EXTRAWORD
tissue ^nn++++=EXTRAWORD
gene ^np++++=gene
expression ^nn++++=expression
profiles ^nns++++=profiles
across ^in+pl+++=across
all ^abn++++=all
samples ^nns++++=samples
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
41 ^cd++++=41
Ibd ^np+++??+=IBD
and ^cc++++=and
n ^zz++++=n
= ^zz++++==
39 ^cd++++=39
non ^&fw++++=non-IBD;
- ^zz++++=EXTRAWORD
ibd ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
discovery ^nn+nom+++=discovery
cohort ^nn++++=cohort
) ^zz++++=).
. ^zz++++=EXTRAWORD
