Data ^nns++++=Data
absenteeism ^nn+nom+++=absenteeism
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
inaccurate ^jj+atrb+++=inaccurate
algorithms ^nns+++??+=algorithms,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
when ^wrb+who+++=when
limited ^jj+atrb++xvbn+=limited
diversity ^nn+nom+++=diversity
among ^in++++=among
individuals ^nns+nom+++=individuals
included ^vbd+++xvbn+=included
in ^in++++=in
machine ^nn++++=machine
learning ^xvbg+++xvbg+=learning
based ^vwbn+++xvbn+=based
risk ^vb++++=risk
models ^nns++++=models
results ^nns++++=results
in ^in++++=in
model ^nn++++=model
preferences ^nns+nom+++=preferences
that ^tht+vcmp+subj++=that
unfairly ^rb++++=unfairly
characterize ^vb++++=characterize
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
normal ^jj+pred+++=normal,
, ^zz++++=EXTRAWORD
deviates ^nns+nom+++=deviates
from ^in++++=from
normal ^jj++++=normal,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
is ^vbz+bez+aux++=is
excluded ^vpsv++agls+xvbnx+=excluded
altogether ^nn+nom+++=altogether
( ^zz++++=(
9 ^zz++++=9
, ^zz++++=,
24 ^cd++++=24
, ^zz++++=,
30 ^cd++++=30
, ^zz++++=,
109 ^cd++++=109
, ^zz++++=,
115 ^cd++++=115
) ^zz++++=).
. ^zz++++=EXTRAWORD
Big ^jj+atrb+++=Big
data ^nns++++=data
critiques ^nns++++=critiques
also ^rb++++=also
refer ^vb++++=refer
to ^in++++=to
uneven ^jj+atrb+++=uneven
power ^nn++++=power
structures ^nns++++=structures
embedded ^vbd+++xvbn+=embedded
in ^in++++=in
the ^ati++++=the
data ^nns++++=data's
's ^$++++=EXTRAWORD
origins ^nns++++=origins
( ^zz++++=(referred
referred ^vbd+++xvbn+=EXTRAWORD
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
positionality ^nn+nom+++=positionality
of ^in++++=of
data ^nns++++=data
and ^cc++++=and
their ^pp$+pp3+++=their
creators ^nns++++=creators),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
calls ^nns++++=calls
for ^in++++=for
the ^ati++++=the
democratization ^nn+nom+++=democratization
of ^in++++=of
data ^nns++++=data
and ^cc++++=and
data ^nns++++=data
augmentation ^nn+nom+++=augmentation
( ^zz++++=(
37 ^cd++++=37
) ^zz++++=).
. ^zz++++=EXTRAWORD
Theory ^nn++++=Theory
can ^md+pos+++=can
play ^vb++++=play
a ^at++++=a
role ^nn++++=role
in ^in++++=in
how ^wrb+who+++=how
one ^cd1++++=one
approaches ^nns++++=approaches
big ^jj+atrb+++=big
data ^nns++++=data
and ^cc++++=and
equity ^nn++++=equity
( ^zz++++=(
39 ^cd++++=39
) ^zz++++=),
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
as ^ql++++=as
a ^at++++=a
socioecological ^jj+atrb+++=socioecological
theory ^nn++++=theory
to ^to++++=to
help ^vbi++++=help
understand ^vb+vprv+++=understand
different ^jj+atrb+++=different
layers ^nns++++=layers
of ^in++++=of
information ^nn+nom+++=information
but ^cc++++=but
also ^rb++++=also
as ^ql++++=as
theories ^nns++++=theories
presenting ^vwbg+++xvbg+=presenting
a ^at++++=a
perspective ^nn++++=perspective
on ^in++++=on
the ^ati++++=the
following ^jj+atrb++xvbg+=following
questions ^nns+nom+++=questions:
: ^zz++++=EXTRAWORD
What ^wdt+who+++=What
shapes ^nns++++=shapes
inequities ^nns+nom+++=inequities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
whom ^whp+rel+pied++=whom?
? ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
is ^vbz+bez+aux++=is
in ^in++++=in
the ^ati++++=the
position ^nn+nom+++=position
of ^in++++=of
power ^nn++++=power
in ^in++++=in
data ^nns++++=data
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
analysis ^nn++++=analysis?
? ^zz++++=EXTRAWORD
