Definitions ^nns+nom+++=Definitions
of ^in++++=of
rural ^jj++++=rural
also ^rb++++=also
rarely ^rb++++=rarely
explore ^vb++++=explore
the ^ati++++=the
subjective ^nn++++=subjective
lived ^vbd+++xvbn+=lived
descriptions ^nns+nom+++=descriptions
or ^cc++++=or
conceptualizations ^nns+nom+++=conceptualizations
of ^in++++=of
rural ^jj+atrb+++=rural
life ^nn++++=life
that ^tht+rel+obj++=that
residents ^nns++++=residents
possess ^nns+nom+++=possess.
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
scholarship ^nn+nom+++=scholarship
recommends ^vbz+vsua+++=recommends
crafting ^jj+atrb++xvbg+=crafting
definitions ^nns+nom+++=definitions
on ^in++++=on
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
a ^at++++=a
ground ^nn++++=ground-truthing
- ^zz++++=EXTRAWORD
truthing ^xvbg+++xvbg+=EXTRAWORD
mixed ^xvbn+++xvbn+=mixed
methods ^nns++++=methods
approach ^nn++++=approach
that ^tht+rel+subj++=that
considers ^nns+nom+++=considers
localities ^nns+nom+++=localities,
, ^zz++++=EXTRAWORD
representations ^nns+nom+++=representations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everyday ^jjb+atrb+++=everyday
lives ^nns++++=lives
( ^zz++++=(
89 ^cd++++=89
, ^zz++++=,
chapters ^nns+nom+++=chapters
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
9 ^zz++++=9)
) ^zz++++=EXTRAWORD
and ^cc++++=and
allows ^vbz++++=allows
the ^ati++++=the
capturing ^nn++++=capturing
of ^in++++=of
how ^wrb+who+++=how
context ^nn++++=context
influences ^nns+nom+++=influences
health ^nn++++=health
[ ^zz++++=[e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gets ^vbz++++=gets
into ^in+ppvb+++=into
the ^ati++++=the
body ^nn++++=body
( ^zz++++=(
27 ^cd++++=27
) ^zz++++=)].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
rural ^jj+atrb+++=rural
health ^nn++++=health
scholars ^nns++++=scholars
emphasize ^vb++++=emphasize
understanding ^nvbg+++xvbg+=understanding
the ^ati++++=the
influences ^nns+nom+++=influences
of ^in++++=of
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
place ^nn++++=place
on ^in++++=on
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
that ^dt+pdem+++=that
might ^md+pos+++=might
change ^vb++++=change
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
by ^in++++=by
subpopulation ^nn+nom+++=subpopulation,
, ^zz++++=EXTRAWORD
by ^in++++=by
stage ^nn++++=stage
of ^in++++=of
life ^nn++++=life
( ^zz++++=(what
what ^wdt+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
salient ^jj+pred+++=salient
for ^in++++=for
youth ^nn++++=youth
may ^md+pos+++=may
be ^vb+be+vrb++=be
different ^jj+pred+++=different
from ^in++++=from
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
salient ^jj+pred+++=salient
for ^in++++=for
adults ^nns++++=adults),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
vertical ^jj+atrb+++=vertical
influences ^nns+nom+++=influences
( ^zz++++=(from
from ^in++++=EXTRAWORD
local ^jj++++=local
to ^in++++=to
global ^jj++++=global)
) ^zz++++=EXTRAWORD
( ^zz++++=(
27 ^cd++++=27
) ^zz++++=).
. ^zz++++=EXTRAWORD
