Preventing ^vbg+++xvbg+=Preventing
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
harmful ^jj+atrb+++=harmful
substances ^nns+nom+++=substances
in ^in++++=in
food ^nn++++=food
is ^vbz+bez+vrb++=is
typically ^rb++++=typically
a ^at++++=a
function ^nn+nom+++=function
of ^in++++=of
national ^jj+atrb+++=national
food ^nn++++=food
safety ^nn++++=safety
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
some ^dti++++=some
cities ^nns++++=cities
have ^vb+hv+aux++=have
regulated ^vprf+++xvbnx+=regulated
unhealthy ^jj+atrb+++=unhealthy
ingredients ^nns++++=ingredients
in ^in++++=in
food ^nn++++=food
sold ^vwbn+++xvbn+=sold
within ^in++++=within
their ^pp$+pp3+++=their
jurisdictions ^nns+nom+++=jurisdictions.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
York ^np++++=York
City ^npl++++=City
banned ^vwbn+++xvbn+=banned
trans ^nn++++=trans
fats ^nns+++??+=fats
in ^in++++=in
prepared ^vbd+++xvbn+=prepared
foods ^nns++++=foods,
, ^zz++++=EXTRAWORD
a ^at++++=a
policy ^nn++++=policy
that ^tht+rel+obj++=that
studies ^nns++++=studies
suggest ^vb+vpub+++=suggest
has ^vbz+hvz+aux++=has
reduced ^vprf+++xvbnx+=reduced
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease
( ^zz++++=(
19 ^cd++++=19
, ^zz++++=,
128 ^cd++++=128
) ^zz++++=).
. ^zz++++=EXTRAWORD
Cities ^nns++++=Cities
have ^vb+hv+aux++=have
also ^rb++splt++=also
implemented ^vprf+++xvbnx+=implemented
policies ^nns++++=policies
to ^to++++=to
restrict ^vbi++++=restrict
sodium ^nn++++=sodium,
, ^zz++++=EXTRAWORD
including ^in++++=including
requiring ^xvbg+++xvbg+=requiring
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
foods ^nns++++=foods
with ^in++++=with
reduced ^jj+atrb++xvbn+=reduced
sodium ^nn++++=sodium
content ^nn++++=content
in ^in++++=in
workplaces ^nns+++??+=workplaces;
; ^zz++++=EXTRAWORD
vending ^jj+atrb++xvbg+=vending
machines ^nns++++=machines
in ^in++++=in
public ^jj+atrb+++=public
facilities ^nns+nom+++=facilities;
; ^zz++++=EXTRAWORD
institutional ^jj+atrb+++=institutional
meal ^nn++++=meal
services ^nns++++=services;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grocery ^nn+nom+++=grocery,
, ^zz++++=EXTRAWORD
corner ^npl++++=corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
convenience ^nn+nom+++=convenience
stores ^nns++++=stores
( ^zz++++=(
142 ^cd++++=142
) ^zz++++=).
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
states ^nns++++=states
have ^vb+hv+aux++=have
attempted ^vprf+++xvbnx+=attempted
to ^to+vcmp+++=to
bar ^vbi++++=bar
such ^abl++++=such
regulations ^nns+nom+++=regulations
by ^in++++=by
preempting ^xvbg+++xvbg+=preempting
their ^pp$+pp3+++=their
adoption ^nn+nom+++=adoption
by ^in++++=by
local ^jj+atrb+++=local
governments ^nns+nom+++=governments
( ^zz++++=(
119 ^cd++++=119
) ^zz++++=).
. ^zz++++=EXTRAWORD
